PairID,Protocol/Results,PMCID,Link,Text,Allocation sequence generation (select the best answer),Allocation concealment (select the best answer),Used full article
7,Protocol,PMC6311046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6311046/,"...The research team, where it is locally agreed that they are part of the clinical care team, will screen and identify potential participants using triage information and clinical or electronic records in the ED or the AMU....Any member of the clinical team who has received general and trial specific training and is on the delegation log may also identify participants in this way....If the potentially eligible participant fulfils the study eligibility criteria, a member of the study research team (or direct care clinician if suitably trained) will take written consent. The participant is assessed by the direct care team to establish if he/she is competent and has capacity to consent....The recruiting direct care clinician or member of the research team will do this....Randomisation codes will be generated; blinded envelopes will be prepared and labelled in accordance with the randomisation list for each participating site....Participants eligible for inclusion should be randomised by taking the next lowest consecutively numbered envelope....Potentially eligible ED and AMU participants will be identified and assessed for study inclusion by the attending clinician....",Described‚ truly random ,Concealed,No
7,Results,PMC6537555,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6537555/,...Sealed opaque envelopes containing either ‚ÄòStandard Care plus Device‚Äô or ‚ÄòStandard Care‚Äô cards were prepared by a central administrator not involved in the study....Participants eligible for inclusion were randomised by the local study team by taking the next lowest consecutively numbered sealed opaque envelope....The local direct care team screened and identified potential participants using ED or the AMU triage information and clinical or electronic records. Potentially eligible participants were assessed for study inclusion by the attending clinician....,Described‚ truly random ,Concealed,Yes
8,Protocol,PMC4219009,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4219009/,"...The twelve CHCs were matched in a 1:1 ratio according to patient census and average ANC volume, and one clinic in each pair was randomly assigned to the experimental or control condition using a computer program written by the data manager....The first conducted the computer-generated randomization assignments stratified by clinic size (selected a seed for the random number generator, ran the program, and completed the table of condition assignments). The second implemented the assignments, providing a table of all clinic site assignments to study personnel. The third activated each intervention site individually, and the fourth activated each control site individually....Potential candidates are referred to the study assessor by PMTCT/HCT staff after completing initiation of ART....Male partners in the couples phase will be invited to attend by their female partners following initial contact with the recruiter....",Described‚ truly random ,Concealed,No
8,Results,PMC5732507,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5732507/,"...The twelve CHCs were matched in a 1:1 ratio according to patient census, average ANC volume, and MTCT rates; one clinic in each pair was randomly assigned to the experimental or control condition using a computer program written by the data manager....The first conducted the computer-generated randomization assignments stratified by clinic size, i.e., selected a seed for the random number generator, ran the program, and completed the table of condition assignments. The second implemented the assignments, providing a table of all clinic site assignments to study personnel. The third activated each intervention site individually, and the fourth activated each control site individually....",Described‚ truly random ,Concealed,No
9,Protocol,PMC3297520,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3297520/,...Randomization will be performed at a site remote from trial location....At the time of randomization subjects will draw an envelope. Each envelope contains a number that is concealed to the treatment allocation....,Described‚ truly random ,Concealed,No
9,Results,PMC3524425,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3524425/,"...The randomization codes were hidden from all subjects, research staff, investigators and pharmacists until all the data were analyzed....",Not reported ,Concealed,No
10,Protocol,PMC3898142,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3898142/,"...A computer generated randomization list prepared by a statistician and unknown to the investigators at the clinical sites will be used. The randomization code was developed by a statistician of the clinical research organization managing the study and will be unknown to the investigators at the clinical sites....Each clinical site will receive two sets of sealed, sequentially numbered, opaque envelopes containing the allocation information that were prepared by the personnel of the clinical research organization managing the trial. The investigators will be trained to write the name of the patient to be randomized on the envelope with the lowest sequence number of the appropriate set (diet only or diet plus diabetes medications) and then open the envelope and discuss treatment allocation with the patient....",Described‚ truly random ,Concealed,No
10,Results,PMC3781531,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781531/,...Details on randomization restriction and block size were not disclosed to investigators....Allocation information was sealed in sequentially numbered opaque envelopes prepared by the clinical research organization managing the trial....,Described‚ truly random ,Concealed,No
11,Protocol,PMC6112404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6112404/,"...Each site will be provided with sequentially numbered, opaque and sealed envelopes containing randomly generated treatment allocations....If a patient is interested, he is invited to the local site to discuss the trial with a study nurse....",Described‚ truly random ,Concealed,No
11,Results,PMC9047644,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9047644/,...Randomization was performed by the pharmacy at Odense University Hospital....The allocation was concealed in opaque envelopes....,Described‚ truly random ,Concealed,Yes
12,Protocol,PMC5153683,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5153683/,"...Potential subjects will be identified by a staff person at each of the three sites and asked if they are interested in learning about a study for which they may be eligible. If they answer yes, the University of Wisconsin (UW) or site coordinator will provide a detailed overview of the study, including patient responsibilities and how patient confidentiality will be protected....The project director will use a computer-generated allocation sequence to randomize participants in a 1:1 ratio to MAT + A-CHESS or MAT alone, stratifying on gender and site and balancing on age, level of care (intensive outpatient treatment, day treatment, or weekly or monthly counseling), and whether patients had prior SUD treatment. The project director will inform the site coordinator of the group assignment by email; in the email, the participant will be identified only by study ID (the code used to make the identity of participants unknown). The site coordinator will initiate patients into the study condition and, if the patient is assigned to MAT + A-CHESS, provide training....",Described‚ truly random ,Concealed,No
12,Results,PMC7939944,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7939944/,"...Each assignment was associated with a unique study ID number. The electronic randomization lists were managed by the project director and stored in a secure location in the center‚Äôs shared drive. When subjects completed baseline, they received the next available assignment and study ID on the appropriate randomization list, the group assignment was recorded in Research Electronic Data Capture (REDCap) [25], and the site coordinator was informed by phone or email....",Described‚ truly random ,Not reported,No
13,Protocol,PMC4025413,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4025413/,"...Patients will be enrolled by the investigators among those undergoing coronary stenting in the Department of Medicine II at the University Medical Center Mainz....On the basis of the randomisation list, study drugs will be prepared and packaged in identical packages by the pharmacy of the University Medical Centre Mainz. Individual sealed envelopes will be opened at the time of randomisation by a study nurse not involved in other study procedures, who will also administer the drugs and check compliance by counting of tablets at follow-up visits....",Described‚ truly random ,Concealed,Yes
13,Results,PMC8710519,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8710519/,...Study drugs were prepared and packaged in identical anonymous boxes by the hospital pharmacy....,Described‚ truly random ,Not reported,Yes
14,Protocol,PMC4446829,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4446829/,"...Based on the first prenatal interview, those women who meet inclusion criteria will be invited (by a standard phone contact) to participate in the randomized controlled trial....",Described‚ truly random ,Not reported,Yes
14,Results,PMC5741924,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5741924/,"...Also, the staff involved with exercise intervention or outcome assessments had no influence on the randomization procedure....",Described‚ truly random ,Concealed,Yes
15,Protocol,PMC3973868,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3973868/,"...Demographic and health data will be recorded for all participants.Random sequence generation will be computer-generated by an independent researcher, guaranteeing that the allocation groups remain confidential. Participants will be randomized to intervention group (IG) or control group (CG) after baseline measures assessment....",Described‚ truly random ,Concealed,No
15,Results,PMC8296136,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8296136/,"...A total of 494 women who had a diagnosis of FM and were moderately obese or overweight were contacted via telephone by a researcher and qualified nurse (B.R.-R.), who explained the purpose of the investigation and invited them to take part in the study. If they accepted, they were given an appointment with the same researcher at their primary care center, where the selection criteria were carefully reviewed, the aim and procedures of the investigation were clearly explained, the consent form was signed (if applicable), and the participants were given an accelerometer with the aim of assessing and recording SB....",Not reported ,Not reported,No
16,Protocol,PMC5379660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5379660/,"...Following receipt of an ‚Äúexpression of interest‚Äù slip/phone call/e-mail, a researcher will contact the patient by telephone and their first visit will be arranged....They be randomised remotely (to ensure allocation concealment) into Groups A (using the nicotine-inclusive e-cigarette), B (using the nicotine-free e-cigarette) and C (being referred to NHS clinic), using a computer programme (nQuery Advisor 6.0, Statistical Solutions, Ireland) to generate stratified block-randomization (by gender and ‚Äúpacket-years‚Äù (e.g. number of packs (20 cigarettes per pack)/day x number of years smoked), by an independent statistician....",Described‚ truly random ,Concealed,No
16,Results,PMC9380327,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9380327/,"...They were enrolled by a researcher not involved in group allocation, intervention delivery, or assessments. Following baseline, participants were randomized remotely into three groups by an independent statistician using a computer-generated (nQuery Advisor 6.0, Statistical Solutions, Ireland) block-randomization stratified by gender and ‚Äúpack-years‚Äù (number of packs (20 cigarettes per pack) per day times number of years smoked)....",Described‚ truly random ,Concealed,No
17,Protocol,PMC3481366,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3481366/,"...The next consecutively numbered treatment pack, taken from a box of eight packs, should then be chosen....Specifically, the responsible doctor will explain to the relatives that the patient will receive the usual emergency treatments for traumatic brain injury but that, in addition to these, the patient has been enrolled in a research study that aims to improve the treatment of patients with this condition....If no relatives are present, two doctors (one independent of the trial) will consider the patient‚Äôs eligibility criteria and any known views of the patient about trial participation. Together they will decide whether or not to enrol the patient into the trial....Randomization codes will be generated and secured by an independent statistical consultant from Sealed Envelope Ltd (London, UK). The codes will be made available to a GMP certified clinical trial supply company explicitly for the treatment packs to be created in accordance with the randomization list....Baseline information will be collected on the Entry Form (Additional file 1: Form 1) and the next lowest consecutively numbered pack will be taken from a box of eight treatment packs....The blinding process and first stage Qualified Person (QP) release will be done by the designated clinical trial supply company....",Described‚ truly random ,Concealed,No
17,Results,PMC6853170,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6853170/,"...An independent statistician from Sealed Envelope (London, UK) prepared the randomisation codes and gave them to the drug packers so that treatment packs could be prepared....After baseline information was collected on the entry form, the lowest numbered treatment pack remaining was taken from a box of eight treatment packs....Every patient was assigned a uniquely numbered treatment pack, which contained four ampoules of either tranexamic acid (500 mg) or placebo, one 100 mL bag of 0¬∑9% sodium chloride (to use with the loading dose), a syringe and needle, stickers with the trial details and randomisation number (for attaching to infusion bags, forms, and the medical records), and instructions....",Described‚ truly random ,Concealed,No
18,Protocol,PMC4570710,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4570710/,"...Parents who wanted to participate in the trial contacted the project leader (KL) for further information. The project leader checked that the infant was suitable for the trial (Form A) and instructed parents to register the infant‚Äôs fussing, crying, colicky crying, sleeping, feeding, and stooling daily in a validated diary (Form B) during a baseline week used for selection....Infants were randomly allocated into one of three groups in proportions of 1:1:1, following randomization lists performed by an independent center for clinical research and development (R&D, Region Skane)....Infants were assigned to the three different treatments by sampling without replacement from a block consisting of, to the investigator, unknown number of labels from each treatment group. Researcher and clinicians had no influence on the allocation of infants....The coordinator kept the randomization lists confidential and had no contact with or information about the families. The coordinator sent the study number via e-mail to the nurse at the study center and to the project leader, as well as the study number and group allocation to the acupuncturist. The acupuncturist‚Äôs records, including the group allocation, were stored in a locked briefcase that only was available for the acupuncturists....",Described‚ truly random ,Concealed,No
18,Results,PMC5466913,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5466913/,"...Those who wanted to participate contacted the project leader (KL) and started to register their infant's crying in a diary....Participants were randomly allocated into one of the three groups in a 1:1:1 ratio, according to randomisation lists generated by R&D, Region Skane....When the project leader had included an infant, the project coordinator in charge of the randomisation was informed. She sent the study number to the nurse at the study CHC via email, and also revealed the study number and allocation to the acupuncturist....",Described‚ truly random ,Concealed,No
19,Protocol,PMC5859815,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5859815/,"...Intervention allocation was conducted during a ‚Äòrandomization ceremony‚Äô in which village representative blindly drew spray/no-spray lots from three boxes containing the stratified village names....The nature of the implementation in villages makes blinding to spray status impossible to the teams collecting incidence data at the community level. Acknowledging this as an inherent limitation, IRS implementation is not concealed, yet workers doing the active case detection will not be directly informed about the spray status of the clusters they visit....",Described‚ truly random ,Concealed,No
19,Results,PMC7877039,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7877039/,"...The 168 clusters were stratified into three groups according to the number of households (< 69 = small; 69‚Äì125 = medium; > 125 = large), and randomized 1:1 into one of the two arms, IRS and no-IRS, by drawing lots during a public community-engagement ceremony....",Unclear,Not reported,No
20,Protocol,PMC4710982,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4710982/,"...Children between 2 to 59 months old with cough or difficult breathing, presenting at the participating PHCs are screened for eligibility by the study physicians. If eligible the parent/guardian is referred to an independent physician to obtain written informed consent....The randomization technique is stratified block randomization with varying sized blocks of 4, 6, 8 and 10 to prevent prediction of next assignment and to ensure sequence allocation concealment....Sequence generation was done at the AKU Clinical Trials Unit (CTU), electronically via computer using random selection method before the start of the study. This was done by an independent person unrelated to the trial....To ensure blinding, self-adhesive, pre-coded sticking labels with the unique identification numbers are prepared at the CTU and applied to the opaque medication bottles before providing to the study physicians. 4 digit randomization codes are used with two prefix characters for different age groups (e.g. IN0000, CH0000)....The codes will be kept safe with a person completely unrelated with the trial and broken only after analysis or upon the recommendation of the DSMB....Moreover, medication will be dispensed by community health workers who are not involved in treatment allocation and outcome assessment....1. Selection Bias: Allocation sequence is generated by a person independent to the trial and is done electronically via computer using random selection method....The code list identifying patient with the allocation (drug or placebo) is kept secret until after analysis or until the recommendations of the data safety and monitoring board (DSMB)....To ensure blinding, self-adhesive, pre-coded sticking labels with the unique identification numbers will be prepared at the CTU and applied to the medication bottles before providing to the study physicians....Randomization codes are kept safe with a person completely unrelated with the trial and broken only after analysis or upon the recommendation of the DSMB....",Described‚ truly random ,Concealed,No
20,Results,PMC7244232,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7244232/,"...All parents or legal guardians provided written, informed consent obtained by a non-study physician....A trained lady health worker and a physician assessed respiratory rate independently and a child was labeled as fast-breather if there was agreement. Wheeze was assessed through auscultation by study physician, all children with wheeze received up to three doses of inhaled bronchodilator according to WHO-IMCI guidelines for categorization of fast breathing with wheeze....Computer generated block randomization lists (4, 6, 8 and 10) stratified by age category (2-11 months and 12-59 months) were made by the AKU Clinical Trials Unit (CTU). The randomization lists containing the treatment allocation code were used by the CTU pharmacist to create labels pasted on white, sealed bottles containing amoxicillin or placebo....Children were assigned a randomization identification number by physician blinded to the allocation code....",Described‚ truly random ,Concealed,No
21,Protocol,PMC3406972,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406972/,"...Among the 4,995 allocation sequences that assigned the placeholder CHOs to opposite groups, a single allocation was selected at random, and the two placeholder CHOs were discarded....Field workers remain in contact with women who have initially consented, and where possible, they arrange to introduce the CHO to the pregnant woman‚Äôs family....",Described‚ truly random ,Not reported,Yes
21,Results,PMC3794862,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3794862/,"...KHRC field workers were responsible for the identification of all pregnant women....The random allocation sequence was generated by LCM, while enrollment of the clusters was done by SN and KHRC in collaboration with the GHS....",Unclear,Not reported,Yes
22,Protocol,PMC7745514,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7745514/,"...In the current study, participants are therefore approached by physicians and nurses at outpatient clinics. First, the researchers contact physicians and nurses, explain to them the aim of the study and ask them to inform family caregivers of stroke survivors about the study. The physicians and nurses inform researchers about those caregivers who are interested in participating in the study, and share their contact details with the permission of the caregivers. The researchers then contact the caregivers to explain to them the purpose of the study....The eligibility criteria are confirmed by the researchers through interviewing the caregivers, observing the stroke survivors and checking the medical records....Randomisation is performed by a trained research assistant at the randomised allocation centre who is not involved in the intervention. The research assistant then informs the researchers which participants have been assigned to the IG or the CG....",Described‚ truly random ,Concealed,No
22,Results,PMC8852666,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8852666/,"...In this community-based study, the participants were approached by physicians and nurses at seven outpatient clinics located in Mansoura City, the capital of Dakahlia Governorate, and surrounding cities within a 30 km radius....Each home visit was conducted by one of the researchers to verify whether the selected participants met the eligibility criteria....Randomisation was conducted using a computer-generated series of numbers and performed by a member of the research group‚Äînot a part of the intervention, who then informed the researchers which participants had been assigned to which group....",Described‚ truly random ,Concealed,No
23,Protocol,PMC3345610,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3345610/,"...Sequentially numbered, opaque, sealed envelopes were prepared by one of the authors (LV), which included a study protocol and four questionnaires. At the time of allocation, the assisting midwife picked the envelope with the lowest number on which she wrote the participant's name and social security number and then opened it....",Described‚ truly random ,Concealed,Yes
23,Results,PMC4055800,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4055800/,"...The randomisation was computerised by the first author LV and generated a list of codes from 1 to 303, with each code linked to one of the three groups....",Described‚ truly random ,Not reported,No
24,Protocol,PMC5935890,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5935890/,"...Sectors were randomly assigned to intervention and control arms by the research team using a computer-generated randomization stratified by district to ensure equal distribution of the intervention across the seven districts of Western Province. Neither the implementers nor the Rwanda MOH were involved in the randomization process....Following household selection, trained study staff located the selected households with the assistance of the village CHW....If the selected household was not present in the village or if contact was unsuccessful after the repeated attempts, study staff attempted to enroll an alternate household selected by the field supervisor from the list of eligible households in the PSU using simple random sampling....",Described‚ truly random ,Concealed,No
24,Results,PMC6546207,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6546207/,"...Randomization was performed by a member of the research team who was not involved in either data collection or intervention delivery, and sector assignments were provided to the implementers....However, during study enrollment and baseline data collection, both study enumerators and participating households were blinded to intervention status....Following household selection, trained enumerators located the selected households with the assistance of a village CHW....",Described‚ truly random ,Concealed,Yes
25,Protocol,PMC3651718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3651718/,"...Patient allocation to the two treatment groups is made by an online process over a password-protected, interactive, centralized website, through specific software, available 24/7, expressly designed for this study (http://www.sedaen.it (Figure 10)). After checking for inclusion and exclusion criteria, trained staff at each participating center obtain informed consent according to local Ethical Committee indications....Before group assignment, baseline patient demographics and characteristics for minimization are collected....",Described‚ truly random ,Concealed,Yes
25,Results,PMC6323792,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6323792/,"...Patients were randomized through a centralized website [24]. After written informed consent had been obtained from patients or relatives according to the indications of the 12 local ethics committees that approved the study, the group allocation was established with a minimization algorithm balanced within centers....PF, RR, SF, FV, GB, AP, FR, EF, MF, AMG, MT, and CP were responsible for enrollment of patients and data gathering at each study site....",Described‚ truly random ,Concealed,No
26,Protocol,PMC5857085,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5857085/,"...### Allocation sequence generation and concealment Randomisation of the interventions will occur at site level. Using UNICEF data on health centre coverage, potential villages and their populations (including the expected population of children aged 6‚Äì11 months) will be listed. Villages receiving Sprinkles or CSB++ will be excluded based on information provided by UNICEF, WFP and the Ministry of Health. Small villages that are close to each other may merged into one site, or large villages split into multiple sites, in order to create sites of similar sizes. Sites will then be randomised to one of the arms. Thus, participants will not be individually randomised. All subjects in a given site will be in the same intervention group to avoid potentially confounding social interaction, such as inter-household sharing of different foods, and to ensure better compliance [44]. Sites will be randomly allocated to one of the foods, using an Excel random number table and a randomised incomplete block design. The principal researcher will generate the allocation sequence. At least three sites will be allocated to each food....Village Health Support Group members (local health volunteers) will assist with recruitment, initially by inviting potential caregivers and children to participate in the trial. The data collection team will use a screening form to assess initial eligibility of participants....",Described‚ truly random ,Not reported,No
26,Results,PMC7038903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7038903/,"...Sites were then randomly allocated to one of the foods, using an Excel random number table and a randomised incomplete block design. The principal researcher generated the allocation sequence....Village health volunteers invited potential caregivers and children to participate. The data collection team used a screening form to assess initial eligibility (e.g. based on age, singleton status, and willingness to participate)....",Described‚ truly random ,Not reported,No
27,Protocol,PMC6893558,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6893558/,"...The trial was conducted using Way to Health [21], an automated information technology platform at the University of Pennsylvania that integrates wireless devices, conducts clinical trial randomization and enrollment processes, delivers messaging (via text or email), delivers self- administered surveys, automates payment transfers, and securely captures data for research purposes....All investigators, statisticians, and data analysts were blinded to arm assignments until the study and analysis were completed....",Described‚ truly random ,Concealed,No
27,Results,PMC8144928,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8144928/,,Not reported,Not reported,No
28,Protocol,PMC5832903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832903/,"...In the mailing, individuals were informed that a research team member would contact them by phone if they did not return the opt-out card to the study office within two weeks....Participants were assigned a unique personal identifier and a group identifier allowing for blinding at the point of analysis....",Described‚ truly random ,Not reported,Yes
28,Results,PMC7076411,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076411/,"...Following telephone consent, we used Research Electronic Data Capture to randomize participants to 1 of the 2 groups in a 1:1 ratio, stratified by clinic site, to either the usual care (control group) or the P2E2T2 program....",Described‚ truly random ,Concealed,No
29,Protocol,PMC3061925,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3061925/,"...The process of randomisation generation and the resulting final randomisation list, produced by the trial statistician will be kept securely at the DNDi Data Centre. Sequentially numbered, sealed, opaque envelopes will conceal random allocation to treatment until immediately prior to receipt of first treatment administration....",Described‚ truly random ,Concealed,No
29,Results,PMC3894173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3894173/,"...Individual treatment allocations were placed in sealed, opaque envelopes which were opened after a patient had been entered into the trial....",Described‚ truly random ,Concealed,Yes
30,Protocol,PMC3148988,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3148988/,"...The women are given information about the project and will be recruited through the ordinary visits at general practitioners and midwives, and at outpatient clinics at the hospitals....Allocation is performed by a web-based randomisation system developed and administered by another unit at the university to ensure blinding....Baseline measurements, except for the armband registration of physical activity, will be done before randomisation....",Described‚ truly random ,Concealed,No
30,Results,PMC4961392,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4961392/,"...After baseline assessments, the participants were randomly allocated 1:1 to the intervention or the control group. Allocation was done using a computer random number generator developed and administrated at the Unit for Applied Clinical Research, NTNU....The investigators enrolling the patients (K....",Described‚ truly random ,Concealed,No
31,Protocol,PMC5994046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5994046/,"...The randomization sequence will be generated by the study biostatistician and concealed from the researchers conducting study assessments....After the baseline DDCAT assessment is completed, the program along with their coach, will be notified of their intervention assignment (Cohort 1) or the program will be notified that they have been assigned to the wait-list control group (Cohort 2)....",Described‚ truly random ,Concealed,No
31,Results,PMC6814122,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6814122/,,Not reported,Not reported,No
32,Protocol,PMC3045905,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045905/,"...Participants will be interviewed and treated by a medical doctor specialized in homeopathy at the CHAMP outpatient clinic of Charit√© University Medical Center....After inclusion, patients will be randomly assigned to either case history type I or II, according to a randomization number disclosed from sequentially numbered, sealed opaque envelopes....The vial will then be labeled and sent to the study center, responsible for dispatching it to the patient within three days from the first case history....The randomization list was generated with SAS/BASE Software (SAS Inc., Cary NC, USA), by a statistician not further involved in the study. The patients will be assigned in sequential order to the treatment groups....The randomization list will be kept strictly confidential. Only the study pharmacist and the statistician who generated the randomization list have access to the randomization list....",Described‚ truly random ,Concealed,No
32,Results,PMC3781106,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781106/,"...A block randomization with variable block lengths was carried out using a 2‚à∂1‚à∂2‚à∂1 ratio (exposing a smaller number of participants to placebo) and placed in sequentially numbered, sealed opaque envelopes. The randomization list was generated with SAS/BASE Software (SAS Inc., Cary NC, USA) by a statistician not further involved in the study....The randomization list was kept strictly confidential. Only the study pharmacist and the statistician who generated the randomization list and prepared the envelopes had access to the randomization list....The vial was then labeled and sent to the study center, which was responsible for dispensing it to the patient within three days of the first case history....",Described‚ truly random ,Concealed,No
33,Protocol,PMC3192674,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3192674/,"...Randomization is performed by Drug Clinical Trial Office affiliated to Guang'anmen Hospital. Computer-made opaque sealed envelopes are numbered consecutively....After the baseline assessment has been carried out and the informed consent has been obtained, an envelope is opened by the investigator according to patient's sequence entering the trial and the allocated treatment regimen is offered to the clinician....",Described‚ truly random ,Concealed,No
