PairID,Protocol/Results,PMCID,Link,Text,Study protocol (with or without SAP) availability,Used full article
21,Results,PMC3794862,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3794862/,...We have previously published details on the design and implementation of this trial [16]....,Publicly available,No
22,Protocol,PMC7745514,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7745514/,,Not reported,No
22,Results,PMC8852666,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8852666/,"...As discussed in the published protocol for the current study,12 multiple systematic reviews have investigated interventions designed to support family caregivers of stroke survivors by reducing their care burden and its consequences.13–15...Nevertheless, each dimension has its own strategies, as explained in the study protocol.12...The protocol of this study was developed in accordance with the Standard Protocol Items Recommendations for Interventional Trials.49 This has been documented in detail elsewhere, to ensure reproducibility.12...To ensure validity,57 a tailored intervention was designed for each caregiver in response to their perceived unmet needs through the five steps described in the study protocol.12...The previously published study protocol extensively describes the intervention delivery.12...",Publicly available,No
23,Protocol,PMC3345610,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3345610/,,Not reported,No
23,Results,PMC4055800,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4055800/,"...A full description of the study design has been presented previously [12]....A complete description of the outcome variables has been published previously [12]....In this study, decisions about pain relief other than acupuncture were left to the women in labour and the midwives, and although we defined the study as an efficacy trial in the protocol [12] a more appropriate definition would be a pragmatic effectiveness trial....",Publicly available,No
24,Protocol,PMC5935890,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5935890/,,Not reported,No
24,Results,PMC6546207,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6546207/,"...The trial design, setting, and characteristics of the study population have been previously described [23], and the protocol is available at https://www.sciencedirect.com/science/article/pii/S2451865416300266....A technical description of sample size calculations for this trial is reported elsewhere [23]....",Publicly available,No
25,Protocol,PMC3651718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3651718/,,Not reported,No
25,Results,PMC6323792,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6323792/,...The methods have been described in detail elsewhere [24]....,Publicly available,No
26,Protocol,PMC5857085,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5857085/,,Not reported,No
26,Results,PMC7038903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7038903/,"...The design and methods are detailed in the published protocol (Borg et al., 2017) and briefly described here....",Publicly available,No
27,Protocol,PMC6893558,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6893558/,,Not reported,No
27,Results,PMC8144928,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8144928/,...Details of the study design and protocol have been published previously.22 The trial protocol (Supplement 1) was approved by the University of Pennsylvania Institutional Review Board....Trial Protocol...,Publicly available,No
28,Protocol,PMC5832903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832903/,,Not reported,No
28,Results,PMC7076411,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076411/,...A detailed description of the study design was previously reported in a clinical trial protocol [27]....,Publicly available,No
29,Protocol,PMC3061925,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3061925/,,Not reported,No
29,Results,PMC3894173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3894173/,"...The study design and protocol have been published, in compliance with CONSORT requirements [14]....Study protocol....",Publicly available,No
30,Protocol,PMC3148988,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3148988/,,Not reported,No
30,Results,PMC4961392,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4961392/,...The study protocol has been published previously [23]....Trial protocol....Information given to the participants in the exercise group....Exercise recording form for training sessions at St. Olavs Hospital....Exercise recording from for training and physical activity at home....Home-based exercise program....Questionnaire regarding general physical activity at baseline....Questionnaire regarding general physical activity at late pregnancy....,Publicly available,No
31,Protocol,PMC5994046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5994046/,"...### Availability of data and materials The data related to the implementation outcomes that support the findings of this study are available from the Washington Department of Social and Health Services but restrictions apply to the availability of these data, which were used under license for the current study, and so are not publicly available. The datasets generated during and/or analyzed during the current study related to the DDCAT, CFIR or NIATx SIC are available from the corresponding author on reasonable request....",Not applicable,No
31,Results,PMC6814122,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6814122/,"...More information on study methods is available in the protocol paper [34]....## Availability of data and materials Datasets generated and/or analyzed during the current study are not publically available, but are available from the corresponding author on reasonable request. The DDCAT Index measure (V4.1) is available from the authors upon request....",Publicly available,No
32,Protocol,PMC3045905,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045905/,,Not reported,No
32,Results,PMC3781106,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781106/,...Protocol publication: http://www.trialsjournal.com/content/12/1/43...The protocol for this trial and supporting CONSORT checklist are available as supporting information; see Checklist S1 and Protocol S1....The study protocol was published [14]....Trial Protocol....,Publicly available,No
33,Protocol,PMC3192674,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3192674/,,Not reported,No
33,Results,PMC3625218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3625218/,...The protocol for this trial and supporting CONSORT checklist are available as supporting information; see Checklist S1 and Protocol S1....gov (Identifier:  NCT01218243) and was previously published [22]....Trial Protocol....,Publicly available,No
34,Protocol,PMC4676178,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4676178/,,Not reported,No
34,Results,PMC6593322,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6593322/,...The workshops and self- management brochures are available at https://www.deprescribingnetwork.ca/cactus-trial....,Not reported,No
35,Protocol,PMC3045306,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045306/,,Not reported,No
35,Results,PMC4511259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4511259/,...The requirements for enrollment into the FONT study have been described in full detail in a previous report [10]....,Publicly available,No
36,Protocol,PMC3816245,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816245/,,Not reported,No
36,Results,PMC4407900,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4407900/,"...The trial protocol (Williams et al., 2013a) was approved by the Human Research Ethics Committee of St. Vincent׳s Hospital and was prospectively registered on anzctr.org.au (ACTRN12613000139774) and clinicaltrials.gov ( NCT01787513)....",Publicly available,No
37,Protocol,PMC4235173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4235173/,,Not reported,No
37,Results,PMC9007089,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9007089/,...The trial was preregistered (www.clinicaltrials.gov:  NCT01892007) and the study protocol prepublished in a peer-reviewed journal (Henshaw et al. 2013b)....,Publicly available,No
38,Protocol,PMC3727984,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3727984/,,Not reported,No
38,Results,PMC6529670,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6529670/,...A comprehensive protocol of this study was published previously.23...,Publicly available,No
39,Protocol,PMC5826976,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826976/,...Dashboard for tracking user machine interaction....,Not applicable,No
39,Results,PMC8660785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8660785/,"...A detailed description of the trial’s interventions has been published16....For more details, please check the published protocol16....",Publicly available,No
40,Protocol,PMC6452278,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6452278/,,Not reported,No
40,Results,PMC8678693,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8678693/,...The HYVALUE rationale and protocol were published6 (trial protocol in Supplement 1)....Trial Protocol...,Publicly available,No
41,Protocol,PMC6421712,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6421712/,...### Availability of data and materials The datasets used and/or analyzed as well as data collection forms and model consent forms of the current study are available from the corresponding author on reasonable request....,Not applicable,No
41,Results,PMC8277064,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277064/,"...Trial details are summarized in the published trial protocol [22] and in the trial registration (clinicaltrials.gov, reference:  NCT03527732, date assigned: 17 May 2018)....After an initial clinical examination, participants were excluded if they were pregnant or lactating in the 1st week after birth, had a major systemic illness, had clinical malaria, had a history of severe acute or chronic diseases, or met other exclusion criteria listed in the trial protocol [22]....",Publicly available,No
42,Protocol,PMC3652773,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3652773/,,Not reported,No
42,Results,PMC7962797,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7962797/,...Our complete protocol is archived elsewhere7....,Publicly available,No
43,Protocol,PMC7574300,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7574300/,...The full protocol will be available upon reasonable request....,Not publicly available,No
43,Results,PMC8104015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8104015/,"...A comprehensive study protocol with in-depth description of trial rationale, design, safety, and statistical analyses plan has previously been published.25 The full protocol and statistical code will be available on reasonable request....",Publicly available,No
44,Protocol,PMC3189404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3189404/,,Not reported,No
44,Results,PMC3816864,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816864/,"...Details of the study design and methods of the OPTIMISE study and the baseline results have been reported previously (15,16)....Full details have been reported previously (15)....",Publicly available,No
45,Protocol,PMC4464611,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4464611/,,Not reported,No
45,Results,PMC6503937,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6503937/,...Detailed information regarding the study protocol has been published elsewhere [14]....Further details about the intervention components have been presented in the open access study protocol [14]....,Publicly available,No
46,Protocol,PMC3476981,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3476981/,,Not reported,No
46,Results,PMC4679993,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4679993/,"...The study protocol and rationale of both treatment strategies have been published elsewhere.17...Interested readers can find full details of the trial protocol in the Supplemental Appendix, available with the full text of this article, and at http://www.biomedcentral.com/1471-2474/13/58....",Publicly available,No
47,Protocol,PMC4127193,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4127193/,,Not reported,No
47,Results,PMC5506677,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5506677/,"...A full study protocol is described elsewhere [12]....More details on this screening tool can be viewed in the study protocol [12]....More details on the sample size and power calculations can be reviewed in a previously published protocol paper [12]. The 42 health centers were stratified by zone and district, and randomly assigned to treatment or control using STATA [21]; more details can be reviewed in the previously published protocol paper [12]....Additional details regarding the nurse selection and participation, development, delivery, and components of the intervention can be found in the study protocol [12]....",Publicly available,No
48,Protocol,PMC5968465,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5968465/,,Not reported,No
48,Results,PMC9066809,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9066809/,...Detailed study methodology of the trial has also been discussed in the protocol paper [12]....,Publicly available,No
49,Protocol,PMC6935101,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6935101/,...## Availability of data and materials Materials are available upon reasonable request from the author....,Not applicable,No
49,Results,PMC9171654,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9171654/,...Full details are available in the published protocol (Supplement 2).16...Trial protocol and statistical analysis plan...,Publicly available,No
50,Protocol,PMC3699393,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3699393/,,Not reported,No
50,Results,PMC4115267,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4115267/,,Not reported,No
51,Protocol,PMC5584035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5584035/,,Not reported,No
51,Results,PMC9012360,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9012360/,"...The trial protocol was published previously [22]....The full details of the trial sample size calculation for the 3 primary outcomes (maternal HIV progression or death, SGA birth, and infant stunting) can be found in the published protocol [22]....Trial of vitamin D in HIV progression, birth outcomes, and child health—study protocol....Trial of vitamin D in HIV progression, birth outcomes, and child health—analysis plan....",Publicly available,No
52,Protocol,PMC5719477,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5719477/,,Not reported,No
52,Results,PMC7164585,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164585/,"...The protocol was also previously published in the peer-reviewed literature [25]....CETA was modified to address IPV and alcohol/substance misuse, which is fully described in the previously published protocol paper [25]....The safety protocol has been described previously [37] and is included in the previous protocol publication [25]....Study questionnaire....",Publicly available,No
53,Protocol,PMC3720554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3720554/,,Not reported,No
53,Results,PMC4371624,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4371624/,...The design of the study was a randomized controlled trial (Figure 1) that been described earlier in detail [39]....,Publicly available,No
54,Protocol,PMC4248299,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4248299/,,Not reported,No
54,Results,PMC6365841,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6365841/,...The study was performed according to the published protocol.12...,Publicly available,No
55,Protocol,PMC5134092,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5134092/,"...All the material can be accessed in Additional file 3....Invitation, leaflet, and website text to the invitation and comparison group....",Not applicable,No
55,Results,PMC6714428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6714428/,"...The study is registered at ClinicalTrials.gov ( NCT02615769), and the trial protocol has been published [11]....All the material can be accessed in the Additional file 1....Further details on routine procedures, intervention and information material are available in the Additional file 1 and in the trial protocol [11]....",Publicly available,No
56,Protocol,PMC5654192,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5654192/,,Not reported,No
56,Results,PMC7787382,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787382/,...The study design and protocol has been previously described in detail [17]....,Publicly available,No
57,Protocol,PMC6887087,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6887087/,,Not reported,No
57,Results,PMC8475664,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8475664/,...The design and methods of the SIMPLE trial have been published previously.17...,Publicly available,No
58,Protocol,PMC6327461,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6327461/,,Not reported,No
58,Results,PMC7511540,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7511540/,...The complete study protocol is described in Luyten et al. (2019)....,Publicly available,No
59,Protocol,PMC6647387,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6647387/,,Not reported,No
59,Results,PMC7540547,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7540547/,...Patients with at least moderately impaired liver function and/or chronic alcohol or drug abuse were excluded (see related publication for full list of inclusion and exclusion criteria 18 )....Details of the study design have been previously published....,Publicly available,No
60,Protocol,PMC3567958,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3567958/,,Not reported,No
60,Results,PMC5833494,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5833494/,...The trial protocol has been published. The trial protocol can be found in Supplement 1....#### Supplement 1. Trial Protocol...,Publicly available,No
61,Protocol,PMC6869182,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6869182/,,Not reported,No
61,Results,PMC7439552,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7439552/,"...Our study, the protocol of which has been published, was a cluster-randomized, pragmatic, parallel arm trial whereby women in intervention clusters had experienced study nurses bring contraceptives (condoms, pills, injection, implant) to postpartum mothers’ in their homes [6]....Our study, the protocol of which has been published, was a cluster-randomized, pragmatic, parallel arm trial [6]....How the communities were combined into clusters and assigned to nurse teams, as well as study arm can be found in the published protocol [6]....",Publicly available,No
62,Protocol,PMC4031497,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4031497/,,Not reported,No
62,Results,PMC5152707,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5152707/,...The background and methods of the trial have been described previously.13...,Publicly available,No
63,Protocol,PMC3179718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3179718/,,Not reported,No
63,Results,PMC6371462,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371462/,...The trial design is described in detail elsewhere and therefore will only be described briefly here [16]....,Publicly available,No
64,Protocol,PMC4672547,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4672547/,,Not reported,No
64,Results,PMC7457274,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7457274/,...The methods used in EPHAPS have been described in detail elsewhere [43]....,Publicly available,No
65,Protocol,PMC3263442,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3263442/,,Not reported,No
65,Results,PMC4947351,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4947351/,"...The study design was based on the British Medical Research Council framework for development and evaluations of Randomised Controlled Trials (RCT) for complex interventions [29, 30], and has been described in detail elsewhere [31]....",Publicly available,No
66,Protocol,PMC3503643,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3503643/,,Not reported,No
66,Results,PMC4243194,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4243194/,"...As pre-specified in the study protocol [23], the primary analysis was done at the cluster level, on an Intention to Treat (ITT) basis - data on all respondents were included according to the site they lived in regardless of whether or not they reported any contact with the intervention....Therefore, as outlined in the study protocol [23], when interpreting results our emphasis will be, not only on the statistical significance of individual results, but on assessing whether observed intervention effects occurred in the hypothesized direction and the magnitude of these effects....The study is registered at ClinicalTrials.gov (reference number  NCT00790959) and the study protocol peer-reviewed and published in the journal Trials [23]....",Publicly available,No
67,Protocol,PMC5337660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5337660/,,Not reported,No
67,Results,PMC7592285,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7592285/,...The protocol was previously registered ( NCT02841683) and published.13...The content has been described in detail elsewhere.13...Some subgroup analyses were conducted as defined in the study protocol.13...,Publicly available,No
68,Protocol,PMC6180640,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6180640/,,Not reported,No
68,Results,PMC7451542,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7451542/,"...The algorithm, previously reported in [15] and illustrated in Fig 1, consisted of four screening tools, each evaluating an area of eligibility required for same-day ART initiation: (1) symptom report, (2) medical history, (3) brief physical examination, and (4) patient readiness assessment....The study procedures are outlined in detail in the previously published protocol [15]....",Publicly available,No
69,Protocol,PMC3260439,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3260439/,,Not reported,No
69,Results,PMC7846038,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7846038/,"...The complete study protocol, design and methodological approach are described in detail elsewhere17....",Publicly available,No
70,Protocol,PMC4919867,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4919867/,,Not reported,No
70,Results,PMC8938762,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8938762/,...The study protocol was previously published12 (appendix pp 1–2 for amendments)....The study protocol and statistical analysis are publicly available.12...,Publicly available,No
71,Protocol,PMC3193523,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3193523/,,Not reported,No
71,Results,PMC4266388,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4266388/,...Details of the methods were published previously.15...,Publicly available,No
72,Protocol,PMC6597746,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6597746/,,Not reported,No
72,Results,PMC8539308,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8539308/,...The study protocol was also published [24]....,Publicly available,No
73,Protocol,PMC5765655,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5765655/,...Program materials are provided as figures associated with this manuscript....,Not applicable,No
73,Results,PMC7282578,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7282578/,...The full methodology has been published previously [40]....,Publicly available,No
74,Protocol,PMC4037747,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4037747/,,Not reported,No
74,Results,PMC7242434,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7242434/,,Not reported,No
75,Protocol,PMC5634880,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5634880/,,Not reported,No
75,Results,PMC9822771,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9822771/,"...More detailed design information was previously reported in 2017 (Wang et al., 2017)....",Publicly available,No
76,Protocol,PMC4363354,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4363354/,,Not reported,No
76,Results,PMC5873374,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5873374/,...A more detailed description of the HiH study has been published.20...Further details on the HiH intervention can be found in the published protocol article20 and Appendix S1....,Publicly available,No
77,Protocol,PMC4328054,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4328054/,,Not reported,No
77,Results,PMC8538243,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8538243/,,Not reported,No
78,Protocol,PMC7931026,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7931026/,,Not reported,No
78,Results,PMC9225274,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9225274/,"...The RCT protocol was ethically approved by the Research Ethical Committee North Tromsø (reference: 2017/2417), registered on the website ClinicalTrials.gov (reference:  NCT03750279), and published in a peer-reviewed journal (MDPI Methods and Protocols) [25]....",Publicly available,No
