PairID,Protocol/Results,PMCID,Link,Text,Data availability,Used full article
26,Protocol,PMC5857085,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5857085/,"...#### Biochemical samples Blood samples (4mls) will be drawn at baseline and endline by trained nurses who are skilled and experienced in taking paediatric blood samples. One to two drops will be used immediately to measure haemoglobin (using a HemoCue HB301 photometer). Of the remaining blood, 2mls will be placed in a trace element sodium heparin vacuette for further micronutrient analysis. The remaining blood will be placed in Ethylenediamine tetraacetic acid (EDTA) tubes for fatty acid analysis, then 40 μl will be pipetted onto pre-treated chromatography paper to be analysed as a dried blood spot. Blood samples will be stored, transported and analysed appropriately to avoid contamination and deterioration. Analysis will be conducted for micronutrient status including haemoglobin (g/l), ferritin (μg/l), transferrin receptor (mg/l), retinol- binding protein (vitamin A status) (μmol/l), zinc (μmol/l), C reactive protein (mg/l), using internationally accepted indicators [46]. Stool samples will be taken and tested for parasites. Stool containers will be distributed to caregivers and collected the following day. Analysis will be conducted using FLOTAX method....### Availability of data and material The datasets generated and/or analysed during the current study will be made available from the corresponding author after the publication of major outputs, upon reasonable request....",Not publicly available,No
26,Results,PMC7038903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7038903/,"...## DATA SHARING The datasets generated and/or analysed during the current study will be made available from the corresponding author after the publication of all major outputs, upon reasonable request....",Not publicly available,No
27,Protocol,PMC6893558,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6893558/,,Not reported,No
27,Results,PMC8144928,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8144928/,...Data Sharing Statement,Not reported,Yes
28,Protocol,PMC5832903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832903/,,Not reported,No
28,Results,PMC7076411,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076411/,,Not reported,No
29,Protocol,PMC3061925,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3061925/,,Not reported,No
29,Results,PMC3894173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3894173/,,Not reported,No
30,Protocol,PMC3148988,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3148988/,...We will also collect whole blood and serum to be frozen at -80C and stored in a biobank for later analyses of hormones associated with female reproduction and blood markers associated with adiposity and insulin resistance. We will also collect Tempus blood RNA tubes and urinarysamples to be frozen for later analyses....,Not reported,No
30,Results,PMC4961392,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4961392/,...#### S1 Data Participant characteristics and outcomes in late pregnancy. (SAV) #### S2 Data Physical activity in early pregnancy. Part of a questionnaire. (SAV) #### S3 Data Physical activity in late pregnancy. Part of a questionnaire. (SAV)...Information given to the participants in the exercise group....Exercise recording form for training sessions at St. Olavs Hospital....Exercise recording from for training and physical activity at home....Home-based exercise program....Questionnaire regarding general physical activity at baseline....Questionnaire regarding general physical activity at late pregnancy....## Data Availability All relevant data are within the paper and its supporting information files.,Publicly available,No
31,Protocol,PMC5994046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5994046/,"...### Availability of data and materials The data related to the implementation outcomes that support the findings of this study are available from the Washington Department of Social and Health Services but restrictions apply to the availability of these data, which were used under license for the current study, and so are not publicly available. The datasets generated during and/or analyzed during the current study related to the DDCAT, CFIR or NIATx SIC are available from the corresponding author on reasonable request....",Not publicly available,No
31,Results,PMC6814122,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6814122/,"...## Availability of data and materials Datasets generated and/or analyzed during the current study are not publically available, but are available from the corresponding author on reasonable request. The DDCAT Index measure (V4.1) is available from the authors upon request....",Not publicly available,No
32,Protocol,PMC3045905,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045905/,,Not reported,No
32,Results,PMC3781106,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781106/,,Not reported,No
33,Protocol,PMC3192674,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3192674/,,Not reported,No
33,Results,PMC3625218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3625218/,,Not reported,No
34,Protocol,PMC4676178,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4676178/,,Not reported,No
34,Results,PMC6593322,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6593322/,...The workshops and self- management brochures are available at https://www.deprescribingnetwork.ca/cactus-trial....,Not reported,No
35,Protocol,PMC3045306,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045306/,"...In any event, DNA specimens for storage in the NIDDK Biorepository will be obtained from all patients who enroll in the trial and consent to the procedure....",Not reported,No
35,Results,PMC4511259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4511259/,,Not reported,No
36,Protocol,PMC3816245,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816245/,...Only members of the site (CRUfAD) research team will have access to participant information and data....,Not publicly available,No
36,Results,PMC4407900,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4407900/,,Not reported,No
37,Protocol,PMC4235173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4235173/,"...The chief investigator is the data custodian....Data collected on paper will be entered onto a database accessible only by the research team and stored alongside electronic data....Only the primary investigator, chief investigator, and the unit statistician will have access to the final data set....",Not publicly available,No
37,Results,PMC9007089,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9007089/,...The data that support the findings of this study are openly available in ClinicalTrials.gov at https://clinicaltrials.gov/ct2/show/study/ NCT01892007....,Publicly available,No
38,Protocol,PMC3727984,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3727984/,,Not reported,No
38,Results,PMC6529670,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6529670/,,Not reported,No
39,Protocol,PMC5826976,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826976/,...Dashboard for tracking user machine interaction....,Unclear,No
39,Results,PMC8660785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8660785/,...## Data availability The deidentified data are available from the corresponding author upon reasonable request....,Not publicly available,No
40,Protocol,PMC6452278,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6452278/,,Not reported,No
40,Results,PMC8678693,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8678693/,...Data Sharing Statement,Not publicly available,Yes
41,Protocol,PMC6421712,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6421712/,...Access will be limited to study investigators and study personnel entering data; both working independently from the project funder....### Availability of data and materials The datasets used and/or analyzed as well as data collection forms and model consent forms of the current study are available from the corresponding author on reasonable request....,Not publicly available,No
41,Results,PMC8277064,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277064/,...## Data Availability All relevant data are within the manuscript and its Supporting information files.,Publicly available,No
42,Protocol,PMC3652773,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3652773/,,Not reported,No
42,Results,PMC7962797,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7962797/,,Not reported,No
43,Protocol,PMC7574300,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7574300/,"...### Additional consent provisions for collection and use of participant data and biological specimens {26b} The use of patient data or biological specimens for ancillary studies will be dependent on approval from the local ethical committee unless this is waived based on prior approvals or the design of the studies....### Plans for collection, laboratory evaluation and storage of biological specimens for genetic or molecular analysis in this trial/future use {33} A biobank will be kept according to the granted approvals, and planned analyses as listed in the “Outcomes {12}” section will be carried out at an experienced laboratory. Future studies will be able to access this pertinent on approval from relevant authorities. At this time, no genetic studies are planned....### Plans to give access to the full protocol, participant-level data, and statistical code {31c} The full protocol will be available upon reasonable request. Participant-level data will be made available upon reasonable request after full publication and approvals from relevant authorities....### Availability of data and materials {29} On request and based on approval from relevant authorities, any data required to support the protocol can be supplied....",Not publicly available,No
43,Results,PMC8104015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8104015/,...The full protocol and statistical code will be available on reasonable request. Participant-level data will similarly be made available on reasonable request after full publication and approvals from relevant authorities....,Not publicly available,No
44,Protocol,PMC3189404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3189404/,,Not reported,No
44,Results,PMC3816864,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816864/,,Not reported,No
45,Protocol,PMC4464611,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4464611/,,Not reported,No
45,Results,PMC6503937,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6503937/,,Not reported,No
46,Protocol,PMC3476981,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3476981/,,Not reported,No
46,Results,PMC4679993,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4679993/,"...Data sharing statement: Data for the current article, including the primary and secondary outcome measures, are available on request from the corresponding author. Data on additional research, regarding the mediation analysis on the working mechanism of pain exposure physical therapy, are available through https://osf.io/q5js8/. These data include patient characteristics and psychological outcome measures.",Not publicly available,No
47,Protocol,PMC4127193,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4127193/,,Not reported,No
47,Results,PMC5506677,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5506677/,"...### Availability of data and materials The datasets generated and analyzed during the current study are not publicly available due to confidentiality concerns, but are available from the corresponding author on reasonable request....",Not publicly available,No
48,Protocol,PMC5968465,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5968465/,...The PI and the supervisors will have access to the datasets....### Availability of data and materials The PI and supervisors will have access to the completed datasets and will collectively decide upon who will have access to the data and how the data will be used....These will be prepared by the PI under supervision....,Not publicly available,No
48,Results,PMC9066809,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9066809/,...## Availability of data and materials All data generated or analysed during this study are included in this published article [and its Additional files]....,Not publicly available,No
49,Protocol,PMC6935101,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6935101/,...Principal Investigator will be given access to the cleaned data sets....## Availability of data and materials Materials are available upon reasonable request from the author....,Not publicly available,No
49,Results,PMC9171654,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9171654/,...Data sharing statement,Not publicly available,Yes
50,Protocol,PMC3699393,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3699393/,,Not reported,No
50,Results,PMC4115267,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4115267/,,Not reported,No
51,Protocol,PMC5584035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5584035/,,Not reported,No
51,Results,PMC9012360,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9012360/,...## Data Availability Data cannot be shared publicly because of requirement for ethical approval and data transfer agreement. The deidentified dataset supporting this research may be made available following a submitted request to ude.dravrah.hpsh@phg and completion of ethical approval and data transfer agreement from the Tanzania National Institute of Medical Research (http://reims.nimr.or.tz:8010/guides/DTA.pdf).,Not publicly available,No
52,Protocol,PMC5719477,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5719477/,,Not reported,No
52,Results,PMC7164585,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164585/,...Study questionnaire....## Data Availability Data are available through the SAMRC data repository: http://medat.samrc.ac.za/index.php/catalog/WW,Publicly available,No
53,Protocol,PMC3720554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3720554/,,Not reported,No
53,Results,PMC4371624,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4371624/,,Not reported,No
54,Protocol,PMC4248299,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4248299/,,Not reported,No
54,Results,PMC6365841,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6365841/,...Data sharing: Anonymised patient level data can be made available on reasonable request after approval from the trial management committee and after signing a data access agreement....,Not publicly available,No
55,Protocol,PMC5134092,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5134092/,"...All the material can be accessed in Additional file 3....### Availability of data and materials The project is registered as part of the research projects, covered by the common university notification of the Danish Data Protection Agency on processing personal data, carried out by the university, with Danish Data Protection Agency journal no. 2015-57-0002 and Aarhus University journal no. 62908, serial number 186....Invitation, leaflet, and website text to the invitation and comparison group....",Not publicly available,No
55,Results,PMC6714428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6714428/,"...All the material can be accessed in the Additional file 1....Further details on routine procedures, intervention and information material are available in the Additional file 1 and in the trial protocol [11]....## Availability of data and materials The data that support the findings of this study are available from Statistics Denmark and the Danish Health Data Authority, but restrictions apply to the availability of these data, which were used under license for the current study and are not publicly available. However, data are available from the corresponding author upon reasonable request and with the permissions of Statistics Denmark and the Danish Health Data Authority....",Not publicly available,No
56,Protocol,PMC5654192,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5654192/,"...Access to any data by study arm and primary study outcomes will not be released until the data and related analyses have been reviewed and approved by the DMC. #### Access to data Only DMC members will have access to the original study database which will be kept on a password-protected server in Uganda. Data from this database will be accessible to other investigators upon request through the DMC. After trial completion and publication of primary findings, any data sharing will adhere to established data-sharing policies of RHSP....### Availability of data and materials Data from this study are available upon request and approval by Ugandan and Johns Hopkins investigators....",Not publicly available,No
56,Results,PMC7787382,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787382/,"...## Data Availability Data cannot be shared publicly due to the presence of participant identifiable data and because of the data sharing policies of the Rakai Health Sciences Program (RHSP, www.rhsp.org). However, a deidentified version will be provided to interested parties subject to completion of the RHSP data request form and signing of a Data Transfer Agreement. Interested parties may contact Dorean Nabukalu at gro.pshr@stseuqeratad.",Not publicly available,No
57,Protocol,PMC6887087,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6887087/,"...The data will be made available to the public via EudraCT and www.clinicaltrials.gov....The results of the project will be submitted to international peer-reviewed journals regardless of their outcome, and the data will be made available to the public via EudraCT and www.clinicaltrials.gov....",Not publicly available,No
57,Results,PMC8475664,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8475664/,...The data that support the findings of this study are available from the corresponding author upon reasonable request....,Not publicly available,No
58,Protocol,PMC6327461,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6327461/,"...In addition, a full study report with an anonymized participant- level dataset and statistical code for generating the results will be made publicly available no later than 3 years after termination of the study for sharing purposes....",Not publicly available,No
58,Results,PMC7511540,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7511540/,"...## Data Availability Statement The raw data supporting the conclusions of this article will be made available by the authors, without undue reservation....",Not publicly available,No
59,Protocol,PMC6647387,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6647387/,...The study team undertakes the administrative and regulatory function for this trial and has access to the final trial dataset....## Availability of data and material The dataset that is generated during the study is not publicly available because the study is currently recruiting....,Not publicly available,No
59,Results,PMC7540547,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7540547/,,Not reported,No
60,Protocol,PMC3567958,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3567958/,"...In particular, centers will have access only to data relative to their own center, whereas the center responsible for informatics infrastructure of the CRO and the member of the DCC responsible for quality will have online access to the entire database to perform periodic quality checks....Following that time period, the data will be under the control of the treating neurologist....",Unclear,No
60,Results,PMC5833494,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5833494/,,Not reported,No
61,Protocol,PMC6869182,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6869182/,"...No biological specimens are being collected that might be used for ancillary studies....### Access to data The PI, SFI, and data manager will have access to the final trial dataset, as outlined in the institutional review board approval. If other members of the team wish to access the data we will have to pursue an ethical review addendum, but we have no plans to broaden access to the dataset at this time. We have no contractual agreements specific to this dataset, but the relationship between the University of Colorado and FSIG is mediated by a memorandum of understanding....We intend to publish the protocol but have no plans to provide the participant-level dataset at this time. As this study is funded by the National Institutes of Health, the dataset may be required to become publicly available at some point in the future....",Not publicly available,No
61,Results,PMC7439552,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7439552/,...Data available on request due to privacy/ethical restrictions....,Not publicly available,No
62,Protocol,PMC4031497,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4031497/,,Not reported,No
62,Results,PMC5152707,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5152707/,...Data sharing: A link to the probability web tool and the “chest pain choice” decision aid can be accessed at the Mayo Clinic Shared Decision Making National Resource Center at http://shareddecisions.mayoclinic.org/decision- aid-information/chest-pain-choice-decision-aid/. Deidentified patient level data and statistical code can be requested from the corresponding author at hess.erik@mayo.edu and provided to investigators who agree to adhere to a signed research data use agreement with the Mayo Clinic....,Not publicly available,No
63,Protocol,PMC3179718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3179718/,,Not reported,No
63,Results,PMC6371462,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371462/,"...### Availability of data and materials The data are not publicly available because permission to release the data was not gained from the participants. This restriction has been imposed by the Danish Data Protection Agency. However, the data can be requested by contacting videnscenterfordataanmeldelser.rigshospitalet@regionh.dk....",Not publicly available,No
64,Protocol,PMC4672547,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4672547/,,Not reported,No
64,Results,PMC7457274,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7457274/,...Data can be accessed upon request....,Not publicly available,No
65,Protocol,PMC3263442,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3263442/,,Not reported,No
65,Results,PMC4947351,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4947351/,"...### Availability of data and materials The current Ethical Review Board approval was obtained for public sharing and presentation of data on group level only, meaning the data used in this study cannot be shared by the authors....",Not publicly available,No
66,Protocol,PMC3503643,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3503643/,,Not reported,No
66,Results,PMC4243194,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4243194/,,Not reported,No
67,Protocol,PMC5337660,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5337660/,,Not reported,No
67,Results,PMC7592285,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7592285/,...Data availability statement: Data are available upon reasonable request....,Not publicly available,No
68,Protocol,PMC6180640,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6180640/,"...Further details about individual and aggregate data collection, quality review, and access are described in our previous publication [10]. Data generated by the study (CRFs) will be made available in de-identified format following closure of the protocol in a publicly available repository, to be identified in papers published from the study. Data obtained from the study sites (routinely generated medical record data) will not be owned by the study and cannot be made publicly available by the authors....### Availability of data and materials Data generated by the study (case report forms) will be made available in de- identified format following protocol closure in a publicly available repository, to be identified in papers published from this study. Data obtained from the study sites (routinely generated medical record data) will not be owned by the authors and cannot be made available by them....",Not publicly available,No
68,Results,PMC7451542,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7451542/,"...## Data Availability Data generated by the study will be made publicly available in the Dryad repository (http://www.datadryad.org/) after the protocol has been closed (anticipated closure December 2020). Until then, data will remain under the supervision of the Boston University Medical Campus IRB and the University of the Witwatersrand Human Research Ethics Committee (HREC). Requests can be sent to the BUMC IRB at ude.ub@bridem. Data extracted from routine medical records are owned by the study sites and the South African National Department of Health and cannot be made publicly available by the authors.",Not publicly available,No
69,Protocol,PMC3260439,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3260439/,,Not reported,No
69,Results,PMC7846038,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7846038/,,Not reported,No
