PairID,Protocol/Results,PMCID,Link,Text,Stopping guidelines (select the best answer),Used full article,CJV Notes
20,Results,PMC7244232,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7244232/,"...The trial was overseen by a Technical Steering Committee (TSC) and a Data Safety and Monitoring Board (DSMB) (registered at ClinicalTrials.gov - NCT02372461)....After interim analysis of 1,000 participants, the overall TF was found to be lower, 3.5%....Interim analyses were performed using an O’Brien-Fleming approach for the purpose of safety by an independent statistician supervised by DSMB. A statistical and/or clinically meaningful difference in adverse events including death was sought between the two arms in a blinded manner, at a significance level of α= 0.01 for stopping trial....",Reported stopping guidelines used ,No,
21,Protocol,PMC3406972,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406972/,"...Implementation of the Universal Distribution Phase of the trial is conditional upon results of the Comparative Phase and feedback from the Data Safety and Monitoring Board....An independent Data Safety and Monitoring Board (DSMB) consisting of national and regional experts was established. Stopping guidelines for efficacy were agreed upon by the DSMB members and the investigating team prior to the trial, using Lan-DeMets boundaries and nominal p-values for group sequential analyses estimated using O’Brien-Fleming spending function [29,30]. A single interim analysis was conducted at ~47 % of the initially planned overall recruitment (December 2011). At the interim analysis, the DSMB recommended continuation of the trial, and suggested extending total enrollment to the extent possible given available resources....",Reported stopping guidelines used ,No,
21,Results,PMC3794862,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3794862/,"...Two additional CHO catchment areas were selected to replace non-compliant CHOs both of which were in the oxytocin group, following the single interim meeting of the Data Safety and Monitoring Board in December 2011....In December 2011 (with 47% of the initial sample size achieved), our Data Safety and Monitoring Board met to examine trial progress. An external analyst assessed effectiveness of the intervention and confidentially presented results to the Board, which assessed them according to predetermined stopping guidelines (nominal alpha 0.00305, calculated using O'Brien-Fleming spending function)....In a posthoc calculation, estimates of control-group incidence of PPH and coefficient of variation were updated at this time using data available at the interim analysis to re-estimate power to detect a 50% reduction in PPH-1 (67.6%) and PPH-2 (91.0%) given this increased sample size....",Reported stopping guidelines used ,No,
22,Protocol,PMC7745514,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7745514/,,Not reported,No,
22,Results,PMC8852666,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8852666/,,Not reported,No,
23,Protocol,PMC3345610,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3345610/,,Not reported,No,
23,Results,PMC4055800,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4055800/,,Not reported,No,
24,Protocol,PMC5935890,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5935890/,,Not reported,No,
24,Results,PMC6546207,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6546207/,,Not reported,No,
25,Protocol,PMC3651718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3651718/,"...An ‘ad interim’ analysis was planned after the enrollment of 70 patients per group....It was evaluated by the SedaEN Steering Committee (see Appendix): since no safety issues were reported, and interesting trends were found about the main outcome, patients’ enrollment was completed according to the established planning....",Not Reported  ,Yes,
25,Results,PMC6323792,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6323792/,"...After the first 140 patients were enrolled, an interim analysis was planned....### Interim analysis...Clear recommendations were communicated to all the local investigators during the two planned meetings (24–25 March and 15 September 2012), and during the principal investigator’s visits to each participating center....",Not Reported  ,Yes,
26,Protocol,PMC5857085,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5857085/,,Not reported,No,
26,Results,PMC7038903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7038903/,,Not reported,No,
27,Protocol,PMC6893558,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6893558/,,Not reported,No,
27,Results,PMC8144928,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8144928/,,Not reported,No,
28,Protocol,PMC5832903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832903/,,Not reported,No,
28,Results,PMC7076411,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076411/,,Not reported,No,
29,Protocol,PMC3061925,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3061925/,"...If this regimen is found to be ineffective according to pre-specified criteria at the time of an interim analysis, the trial design allows for recruitment and randomisation into the two arms to continue with a higher single-dose (see Type of Analysis section)....Two interim analyses are planned after recruitment of a pre-specified number of patients per arm, to allow for rapid elimination of inadequate dosage regimens. The interim analysis will be assessed at the secondary endpoint, initial cure, measured on day 30, where treatment is initiated on day 1 Figure11....Interim analyses are planned after recruitment of 20 and 40 patients per arm. Randomisation will pause once the desired number of patients for each interim analysis has been recruited, in order to carry out the interim analysis and assess if the trial will continue with the current single-dose or a higher single-dose. If interim results indicate a Fisher's test of a difference with a p-value ≤ 0.05, randomisation will re-start with the next highest dose in the single-dose regimen arm. Interim analyses will take place as pre-specified for each dosage tested in the single-dose treatment arm....All SAEs will be reported to and reviewed by the Medical Coordinator within 24 hours and reported to the Data and Safety Monitoring Board (DSMB) within 7 days....An interim analysis report presenting the efficacy (95% confidence intervals) in each arm and the p-value from a Fisher's test of a difference will be provided to the DSMB....The DSMB will review the results and report back to the coordination group, to confirm if the stopping rule for a single-dose has been met. Adverse event listings are to be provided at the request of the DSMB. The DSMB, through the Chair may request additional efficacy and safety data if they have concerns relating to trial conduct or other ethical and safety issues [19]....A decision for premature termination will be taken in consultation and agreement with the sponsor, investigators and DSMB....",Reported stopping guidelines used ,No,
29,Results,PMC3894173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3894173/,"...Two interim analyses were planned, after enrolment of 20 and 40 patients per arm, for early detection of inefficacious single doses, based on parasite clearance at day 30 (figure 2) and/or worsening clinical conditions....Interim analyses were based on day 30 cure in the Intention-to-Treat (ITT) population. Decision-making at each interim analysis was based on a test of difference between the parasite clearance rates in the single dose arm and multiple dose arms....### Table 2 Interim analyses and non-comparative efficacy analysis for primary (day 210) and secondary (day 30) end points....For the first interim analysis, comparing the 7·5 mg/kg single dose to the multiple dose regimen with 20 and 18 patients per arm, respectively, in the two Ethiopian sites, the stopping rule was met (Table 2: Fisher's exact test, p = 0·015)....The stopping rule was not met (chi-squared test, p = 0.196), but based on the observed poor efficacy overall, and following discussions with the Data Safety and Monitoring Board (DSMB) and investigators, the sponsor terminated the trial....",Reported stopping guidelines used ,No,
30,Protocol,PMC3148988,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3148988/,,Not reported,No,
30,Results,PMC4961392,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4961392/,,Not reported,No,
31,Protocol,PMC5994046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5994046/,,Not reported,No,
31,Results,PMC6814122,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6814122/,,Not reported,No,
32,Protocol,PMC3045905,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045905/,...As no interim analyses are planned there is no need for further multiple adjustments....,Reported no stopping guidelines used  ,No,
32,Results,PMC3781106,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781106/,,Not reported,No,
33,Protocol,PMC3192674,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3192674/,,Not reported,No,
33,Results,PMC3625218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3625218/,,Not reported,No,
34,Protocol,PMC4676178,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4676178/,,Not reported,No,
34,Results,PMC6593322,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6593322/,,Not reported,No,
35,Protocol,PMC3045306,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045306/,"...At this point, randomization will be temporarily halted, and there will be a 6 month pause during which the first set of patients assigned to each of the 3 arms will be allowed to complete the treatment period and have their response to the therapy evaluated. If in either of the experimental groups - adalimumab or galactose groups-- there are one or fewer responders among the first 17 randomized patients, that group will be dropped from further consideration....",Reported stopping guidelines used ,No,
35,Results,PMC4511259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4511259/,,Not reported,No,
36,Protocol,PMC3816245,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816245/,...An interim analysis will only be conducted to check that the planned number of participants have been retained in the trial following enrolment....,Reported no stopping guidelines used  ,No,
36,Results,PMC4407900,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4407900/,,Not reported,No,
37,Protocol,PMC4235173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4235173/,,Not reported,No,
37,Results,PMC9007089,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9007089/,,Not reported,No,
38,Protocol,PMC3727984,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3727984/,,Not reported,No,
38,Results,PMC6529670,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6529670/,,Not reported,No,
39,Protocol,PMC5826976,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826976/,...SKCCC/CRC recommended forming Data and Safety Monitoring Board for this study & SKCCC/CRC will conduct random audits....,Not Reported  ,Yes,
39,Results,PMC8660785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8660785/,,Not reported,No,
40,Protocol,PMC6452278,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6452278/,"...In addition to multisite IRB oversight, a data safety monitoring board (DSMB) is in place. The board has 3 members with expertise in biostatistics, primary care, and cardiology who are outside of the investigative team. The DSMB reviewed the protocol before the implementation and will continue to meet at least every 12 months throughout the study. The board reviews evidence of any study-related adverse events, data quality and completeness, and adherence to the protocol. DSMB meeting summaries are reported to each site IRB and to the project funder. Interim analyses and protocol revisions are currently not planned but will be conducted upon the request of the board....",Reported no stopping guidelines used  ,No,
40,Results,PMC8678693,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8678693/,"...A data and safety monitoring board met before study initiation, approved the protocol, and met at least yearly. The board monitored study conduct, data quality, and safety; no interim efficacy analyses were planned or conducted....",Reported no stopping guidelines used  ,No,
41,Protocol,PMC6421712,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6421712/,,Not reported,No,
41,Results,PMC8277064,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277064/,,Not reported,No,
42,Protocol,PMC3652773,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3652773/,,Not reported,No,
42,Results,PMC7962797,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7962797/,,Not reported,No,
43,Protocol,PMC7574300,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7574300/,"...### Interim analyses {21b} As this is a pilot trial with a limited number of planned inclusions, no interim analysis will be performed; however, the sponsor-investigator will closely monitor the general safety of the trial participants....### Composition of the data monitoring committee, its role, and reporting structure {21a} Yearly safety rapports will be filed to the Local Ethical Committee and Danish Medicines Agency, and patient safety will be monitored closely by the sponsor- investigator and co-investigators; however, as this is a trial of limited size, no data monitoring committee will be formed....",Reported no stopping guidelines used  ,No,
43,Results,PMC8104015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8104015/,,Not reported,No,
44,Protocol,PMC3189404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3189404/,,Not reported,No,
44,Results,PMC3816864,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816864/,"...An interim analysis was carried out to provide data for the baseline results, which are presented elsewhere (16). The number of patients in this final analysis was slightly larger than for the interim analysis because of late verification of collection of informed consent....",Not Reported  ,Yes,
45,Protocol,PMC4464611,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4464611/,...No interim analysis will be performed....,Reported no stopping guidelines used  ,No,
45,Results,PMC6503937,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6503937/,,Not reported,No,
46,Protocol,PMC3476981,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3476981/,,Not reported,No,
46,Results,PMC4679993,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4679993/,,Not reported,No,
47,Protocol,PMC4127193,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4127193/,,Not reported,No,
47,Results,PMC5506677,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5506677/,,Not reported,No,
48,Protocol,PMC5968465,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5968465/,...#### Data monitoring The study does not have any risks of harm....,Not Reported  ,Yes,
48,Results,PMC9066809,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9066809/,,Not reported,No,
49,Protocol,PMC6935101,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6935101/,"...### Monitoring In the event of interim analysis or definitive discontinuation of the study, the National coordinating team will obtain competent authorities the authorisation....The sponsor will conduct study quality monitoring....",Not Reported  ,Yes,
49,Results,PMC9171654,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9171654/,,Not reported,No,
50,Protocol,PMC3699393,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3699393/,,Not reported,No,
50,Results,PMC4115267,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4115267/,,Not reported,No,
51,Protocol,PMC5584035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5584035/,...Two nonstudy statisticians will hold the randomization list codes until completion of primary analyses or until requested by the DSMB. The ToV5 DSMB reviews event rates every 6 months and will recommend any necessary changes to the trial sample size to maintain statistical power....,Not Reported  ,Yes,
51,Results,PMC9012360,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9012360/,"...We also acknowledge the efforts of the trial data and safety monitoring board, which included Dr. David Shapiro (Chair), Prof. Michael Holick, Prof. Gideon Kwesigabo, Dr. Shahin Lockman, and Dr. Salim Abdullah....",Not Reported  ,Yes,
52,Protocol,PMC5719477,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5719477/,"...The trial is monitored by a four-person Data Safety Monitoring Board (DSMB). It was mutually determined between DSMB members and study investigators that if the CETA intervention displayed statistically significant effectiveness with at least a moderate effect size at the 12-month follow-up assessment, it would be ethically appropriate to stop the trial and offer the intervention to control participants. Therefore, the DSMB will conduct an effectiveness analysis following the completion of the 12-month post-baseline assessments. The trial will be unmasked and stopped if there is a statistically significant difference between the change in primary outcome (i.e. SVAWS score among female participants) by treatment arm, defined as a Cohen's d effect size of ⩾0.5 and a p value of <0.05....",Reported stopping guidelines used ,No,
52,Results,PMC7164585,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164585/,"...The trial was monitored by a 4-person Data and Safety Monitoring Board (DSMB) composed of experts on IPV, alcohol misuse, and randomized trials that were based in both sub-Saharan Africa and the US, including 1 author (NG). At the commencement of the study, the DSMB and study investigators agreed on stopping rules due to the high-risk characteristics of the study population. Specifically, an effectiveness analysis was planned following the 12-month post-baseline assessment with all available (i.e., non-imputed) data. If CETA was found to be clinically (Cohen’s d ≥ 0.5) and statistically (p < 0.05) more effective than TAU-Plus in reducing SVAWS physical/sexual violence subscale score, then the trial would be stopped early and CETA would be provided to control participants....The DSMB interim analysis conducted at the 12-month post-baseline assessment with non-imputed data on the SVAWS physical/sexual violence subscale found a treatment effect expressed as a Cohen’s d effect size for CETA of 0.51 (difference in mean change = −8.5, 95% CI −13.8 to −3.3, p = 0.002). Based on this result, the DSMB made a recommendation to stop the trial early and offer CETA to control participants....",Reported stopping guidelines used ,No,
53,Protocol,PMC3720554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3720554/,,Not reported,No,
53,Results,PMC4371624,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4371624/,,Not reported,No,
54,Protocol,PMC4248299,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4248299/,...A data monitoring committee (DMC) will review accumulating data and make recommendations to the trial steering committee (TSC) with respect to trial conduct and participant safety. DMC and TSC charters outline the roles and responsibilities of these committees....,Not Reported  ,Yes,
54,Results,PMC6365841,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6365841/,"...The data monitoring committee approved the sample size increase from 120 to 214 participants....Data monitoring committee: Karen Smith (principal statistician, NIHR Research Design Services, University of Leicester), Muthu Ganapathi (consultant orthopaedic surgeon, NHS Wales University Health Board), and Peter Lovell (lay representative)....",Not Reported  ,Yes,
55,Protocol,PMC5134092,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5134092/,,Not reported,No,
55,Results,PMC6714428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6714428/,,Not reported,No,
