PairID,Protocol/Results,PMCID,Link,Text,Allocation ratio (select the best answer),Used full article,Note
23,Protocol,PMC3345610,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3345610/,,Not reported,No,
23,Results,PMC4055800,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4055800/,"...The sample size calculation was based on the primary outcome and a difference of 15 mm on VAS was regarded as clinically relevant, this gave 101 in each group, including a total of 303 women....",Equal allocation to all groups,No,
24,Protocol,PMC5935890,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5935890/,...We used a database maintained by the Rwanda MOLG that contains the Ubudehe categorization of all households (subsequently referred to as the 'Ubudehe database') to generate a count of eligible households in each sector and determined that a 3:1 allocat,Other,No,
24,Results,PMC6546207,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6546207/,"...Sectors were randomly assigned to the intervention or the control at a 3:1 ratio in order to meet implementer and MOH goals of delivery to 100,000 households....",Other,No,
25,Protocol,PMC3651718,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3651718/,"...Patient allocation occurs using a minimization algorithm [33], to maintain groups balanced within each center, according to those characteristics potentially influencing the study outcomes, as indicated by the SedaEN Steering Committee....",Not reported,No,
25,Results,PMC6323792,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6323792/,"...After written informed consent had been obtained from patients or relatives according to the indications of the 12 local ethics committees that approved the study, the group allocation was established with a minimization algorithm balanced within cente",Not reported,No,
26,Protocol,PMC5857085,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5857085/,...The allocation ratio is 1:1....,Equal allocation to all groups,No,
26,Results,PMC7038903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7038903/,"...Seven sites were allocated to each arm, for a total of 28 sites....",Equal allocation to all groups,No,
27,Protocol,PMC6893558,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6893558/,,Not reported,No,
27,Results,PMC8144928,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8144928/,,Not reported,No,
28,Protocol,PMC5832903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832903/,"...We planned to enroll 300 patients with type-2 diabetes from the health system’s primary care network, randomizing half to usual care and half to the P2E2T2 Program’s mHealth enabled nurse health coaching intervention....Following verbal consent, bl",Equal allocation to all groups,No,
28,Results,PMC7076411,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076411/,"...Following telephone consent, we used Research Electronic Data Capture to randomize participants to 1 of the 2 groups in a 1:1 ratio, stratified by clinic site, to either the usual care (control group) or the P2E2T2 program....",Equal allocation to all groups,No,
29,Protocol,PMC3061925,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3061925/,,Not reported,No,
29,Results,PMC3894173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3894173/,"...For the primary endpoint comparison, 120 patients per arm would provide 80% power to detect non-inferiority within a margin of 10%, assuming 95% cure in the reference arm, a one-sided alpha of 0·05 and 15% loss-to-follow-up....",Equal allocation to all groups,No,
30,Protocol,PMC3148988,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3148988/,"...After initial assessments, the women will be randomly assigned to either intervention or control (1:1 randomisation, Figure ).1)....",Equal allocation to all groups,No,
30,Results,PMC4961392,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4961392/,"...After baseline assessments, the participants were randomly allocated 1:1 to the intervention or the control group....",Equal allocation to all groups,No,
31,Protocol,PMC5994046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5994046/,...An equal number of programs will be randomized to each study arm....,Equal allocation to all groups,No,
31,Results,PMC6814122,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6814122/,,Not reported,No,
32,Protocol,PMC3045905,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045905/,"...A non-stratified block randomization with variable block lengths will be carried out, with a 2:1:1:2 ratio (aiming at exposing a smaller number of participants to placebo treatment) for group 1: group 2: group 3: group 4 (i.e. 76:38:38:76 patients)....",Other,No,
32,Results,PMC3781106,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781106/,"...A block randomization with variable block lengths was carried out using a 2∶1∶2∶1 ratio (exposing a smaller number of participants to placebo) and placed in sequentially numbered, sealed opaque envelopes....",Other,No,
33,Protocol,PMC3192674,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3192674/,"...Chapple and Hong-Jeng Yu [16,17], to detect a reduction in IPSS of 7 with a two-sided 5% significance level and a power of 90%, 50 patients will be needed for treatment group and control group respectively (1:1 allocation) allowing for a 20% dropout ra",Equal allocation to all groups,No,
33,Results,PMC3625218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3625218/,"...Therefore, in conjunction with methods and results of the studies by Chapple et al [23] and Yu et al [24], 50 patients will be needed for each group (1:1 allocation) in the present study to detect a seven point reduction in IPSS with a two-tailed signi",Equal allocation to all groups,No,
34,Protocol,PMC4676178,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4676178/,"...Using block randomization with an alternating block size of 2 or 4, we will randomly allocate clusters (via a 1:1 ratio and stratified by site) to the intervention or control group via a computer-generated random digit performed by an independent stati",Equal allocation to all groups,No,
34,Results,PMC6593322,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6593322/,"...Consenting organisations were randomised in a 1:1 ratio to a continence promotion or control intervention in permutated alternating block sizes of 2 or 4, stratified according to site....",Equal allocation to all groups,No,
35,Protocol,PMC3045306,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045306/,,Not reported,No,
35,Results,PMC4511259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4511259/,,Not reported,No,
36,Protocol,PMC3816245,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816245/,...The trial is a randomised controlled superiority trial with two parallel arms using a 1:1 allocation ratio....,Equal allocation to all groups,No,
36,Results,PMC4407900,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4407900/,,Not reported,No,
37,Protocol,PMC4235173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4235173/,,Not reported,No,
37,Results,PMC9007089,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9007089/,"...A single-center, phase II, active-controlled RCT with participant and outcome assessor blinding, and minimized allocation (Scott et al. 2002) of participants to one of the two groups (adaptive training or nonadaptive training) according to: age (younge",Equal allocation to all groups,Yes,
38,Protocol,PMC3727984,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3727984/,...Randomization will be performed on-line via a secure internet facility in a 1:1 ratio by the TENALEA Clinical Trial Data Management System using randomly permuted blocks with maximum block size 4 within strata formed by nine spiritual counsellors....,Equal allocation to all groups,No,
38,Results,PMC6529670,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6529670/,...Randomization was performed online via a secure Internet facility in a 1:1 ratio by the TENALEA Clinical Trial Data Management System using randomly permuted blocks with maximum block size 4 within strata formed by seven spiritual counselors....,Equal allocation to all groups,No,
39,Protocol,PMC5826976,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826976/,"...This is a three-arm single center pilot randomized trial with allocation ratio of 1:1:1....Participants are randomized with an allocation ratio of 1:1:1 to the control self-driven arm (Group A), Coachtext (Group B), or MyCoach (Group C)....",Equal allocation to all groups,No,
39,Results,PMC8660785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8660785/,"...The PATH study was a three-arm, randomized parallel trial with an allocation ratio of 1:1:1....",Equal allocation to all groups,No,
40,Protocol,PMC6452278,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6452278/,"...Assuming comparable variation in adherence and alpha=.05, a sample size of 960 participants and 1:1 enrollment by race (240 in each study condition, for each racial group; approximately 480 black and 480 white patients) will be required to detect a 0.2",Equal allocation to all groups,No,
40,Results,PMC8678693,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8678693/,,Not reported,No,
41,Protocol,PMC6421712,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6421712/,"...Study participants eligible for treatment will be randomly assigned in a 1:1 allocation to one of the treatment arms using sealed, opaque sequentially- numbered envelopes prepared by persons independent of the trial....",Equal allocation to all groups,No,
41,Results,PMC8277064,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277064/,"...Eligible participants were allocated 1:1 to either albendazole (400 mg) plus ivermectin (200 μg/kg body weight), or albendazole (400 mg) plus placebo....",Equal allocation to all groups,No,
42,Protocol,PMC3652773,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3652773/,,Not reported,No,
42,Results,PMC7962797,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7962797/,,Not reported,No,
43,Protocol,PMC7574300,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7574300/,...The script is set up to allocate treatment in a 1:1 ratio of active treatment or placebo in permuted blocks of four....,Equal allocation to all groups,No,
43,Results,PMC8104015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8104015/,"...After the successful completion of screening procedures, patients were randomly assigned in a 1:1 fashion to receive IL-6RA or placebo after hospital admission....Patients were randomly assigned 1:1 to receive tocilizumab or placebo....",Equal allocation to all groups,No,
44,Protocol,PMC3189404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3189404/,"...Recruitment for the study began initially in Belgium with a randomisation ratio of 1:1....As sufficiently high numbers of physicians were recruited in Belgium, this subsequently allowed a 3:1 randomisation ratio of benchmarked to control practices in t",Other,No,
44,Results,PMC3816864,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816864/,"...Randomization took place in a 1:1 ratio in Belgium (where the study originated); some centers recruited 15–20 patients, rather than the expected 8–12 patients, which allowed a 3:1 randomization ratio in the other participating countries....",Other,No,
45,Protocol,PMC4464611,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4464611/,"...The study is a multicentre, cluster-randomised controlled, pragmatic trial using parallel groups with a 1:1 randomisation (on cluster level) and 12 months of follow-up....",Equal allocation to all groups,No,
45,Results,PMC6503937,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6503937/,"...A multi-centre, cluster-randomised controlled, pragmatic trial using two parallel groups with 1:1 randomisation (on a cluster level) and 12 months of follow-up was conducted....",Equal allocation to all groups,No,
46,Protocol,PMC3476981,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3476981/,"...Given an alpha of 0.05 and a power of 80% for a one-sided Chi- square test, 62 patients are needed when using a 1:1 randomization, 31 in the PEPT-group and 31 in the conventional therapy group....",Equal allocation to all groups,No,
46,Results,PMC4679993,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4679993/,"...An independent person (MR) allocated patients to one of the two treatment groups (PEPT or conventional treatment (CONV), table 1) in a 1:1 ratio using the randomisation program....Given an α of 0.05 and a power of 80% for a one-sided χ2 test, 62 pati",Equal allocation to all groups,No,
47,Protocol,PMC4127193,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4127193/,,Not reported,No,
47,Results,PMC5506677,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5506677/,,Not reported,No,
48,Protocol,PMC5968465,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5968465/,"...A sample size of 220 teachers (110 teachers each in the intervention and control groups) is estimated using 90% confidence interval, 5% absolute precision with expected percentage of improvement on mental health literacy in the intervention group as 10",Equal allocation to all groups,No,
48,Results,PMC9066809,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9066809/,"...Sample size of 220 teachers (110 teachers in intervention and control group teachers each) was estimated using 90% confidence interval, 5% absolute precision with expected improvement in mental health literacy of 10% in the intervention group compared ",Equal allocation to all groups,No,
49,Protocol,PMC6935101,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6935101/,...The 1:1 randomization is stratified per centre and a computer-generated randomization list is created using a permuted block-design....,Equal allocation to all groups,No,
49,Results,PMC9171654,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9171654/,"...Immediately after signing the consent form, participants were randomly assigned using a web-based system at a 1:1 ratio....To allow for a potential 10% of people being lost to follow-up, the planned sample was 200 per group, for a total of 400....",Equal allocation to all groups,No,
50,Protocol,PMC3699393,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3699393/,"...The present trial is based on a controlled trial, including three groups of approximately 50 individuals who suffer from psychological stress: (1) the experimental group (EG), (2) the control group (CG), and (3) the waiting list (WL) group....",Equal allocation to all groups,No,
50,Results,PMC4115267,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4115267/,"...With an established alpha level of .05, 0.80 power, and a preliminary research based effect size of 0.272 (n=15, treatment vs non-treatment using the STAI Y2 score), a sample size of 30 participants for the group was enough to test the hypothesis of si",Equal allocation to all groups,No,
51,Protocol,PMC5584035,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5584035/,...Sample size and power calculations for ToV5 were based on a two-sided test of proportions and a z-statistic using the asymptotic variances of the observed proportions which assumed 1:1 randomization to vitamin D3 and placebo arms and a nominal Type I e,Equal allocation to all groups,No,
51,Results,PMC9012360,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9012360/,"...Pregnant women were randomly assigned in a 1:1 ratio to either the vitamin D3 supplementation or placebo group, stratified by the study clinic....Briefly, the trial target sample size was 2,300 pregnant women living with HIV based on power calculations",Equal allocation to all groups,No,
52,Protocol,PMC5719477,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5719477/,"...The US-based staff member maintained a computer- generated (via Microsoft Excel) 1:1 randomization sequence stratified by study compound and in blocks of 20 (i.e. each 20 assignments included 10 CETA and 10 TAU)....For 80% power at an α level of 0.05,",Equal allocation to all groups,No,
52,Results,PMC7164585,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164585/,"...Eligible couples were randomized as a unit 1:1 to either CETA or treatment as usual plus safety checks (TAU-Plus)....Three lists (1 for each study site) were maintained, each with random treatment assignments to CETA and TAU-Plus in blocks of 20 (i.e.,",Equal allocation to all groups,No,
53,Protocol,PMC3720554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3720554/,,Not reported,No,
53,Results,PMC4371624,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4371624/,,Not reported,No,
54,Protocol,PMC4248299,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4248299/,...Patients will be randomly assigned to hip arthroscopy or physiotherapy with 1:1 allocation using a telephone system provided by the Oxford Clinical Trials Unit....,Equal allocation to all groups,No,
54,Results,PMC6365841,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6365841/,...FAIT is a two group parallel assessor blinded pragmatic randomised controlled study with 1:1 allocation....,Equal allocation to all groups,No,
55,Protocol,PMC5134092,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5134092/,"...The sample size is estimated at 4356 participants in total and is calculated on the basis of the following assumptions: 1:1 randomization, two-sided significance level of 0.05, power of 0.9, intra-cluster correlation coefficient of 0.01; and with an av",Equal allocation to all groups,No,
55,Results,PMC6714428,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6714428/,"...The estimated sample size was 4356 based on the following assumptions: 1:1 randomisation, a two-sided significance level of 0.05, an intra-cluster correlation coefficient of 0.01 [18], a power of 90% and categorical analysis with a power to detect a di",Equal allocation to all groups,No,
56,Protocol,PMC5654192,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5654192/,"...The impact of the Health Scout intervention will be assessed through a pragmatic, parallel, cluster-randomized controlled trial with an allocation ratio of 1:1 and superiority framework (Fig. 1)....",Equal allocation to all groups,No,
56,Results,PMC7787382,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787382/,"...In brief (also see S1 CONSORT Checklist), the study was a pragmatic, parallel, cluster randomized, controlled trial with an allocation ratio of 1:1....Given the fixed sample size and desire for baseline comparability of important characteristics, we us",Equal allocation to all groups,No,
57,Protocol,PMC6887087,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6887087/,...Participants will be randomised 1:1 to either empagliflozin 25 mg or matching placebo once daily for 13 weeks....The trial medication will be randomised in computer- generated 1:1 blocks of 10 by the study pharmacy (Glostrup Pharmacy)....,Equal allocation to all groups,No,
57,Results,PMC8475664,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8475664/,...Eligible participants were randomly assigned (1:1) to either empagliflozin 25 mg once daily or a matching placebo for 13 weeks....,Equal allocation to all groups,No,
58,Protocol,PMC6327461,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6327461/,,Not reported,No,
58,Results,PMC7511540,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7511540/,,Not reported,No,
59,Protocol,PMC6647387,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6647387/,"...After at least 1 week of stable nabilone dosage, responders are randomized in a 1:1 ratio at the baseline visit (V 0) to receive either nabilone at the dosage reached during the titration phase or placebo for 4 weeks (phase 2)....Patients will be rando",Equal allocation to all groups,No,
59,Results,PMC7540547,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7540547/,"...In phase II of the study, responders were randomly assigned (1:1) to either their optimal nabilone dose as established during phase I or placebo (corn starch) of matching color and shape and supplied in identical packaging....",Equal allocation to all groups,No,
60,Protocol,PMC3567958,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3567958/,"...The intention-to- treat (ITT) analysis of 423 patients, allocated into the two treatment arms according to a randomization ratio of 1:2 (141 in the control arm and 282 in the experimental arm), will allow us to detect an absolute mean reduction of 2.1 ",Other,No,
60,Results,PMC5833494,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5833494/,"...The data coordinating center set up an internet-based computerized central randomization protocol stratified by participating center with variable length blocks, which assigned patients to the PTA or sham group in a 2:1 ratio....",Other,No,
61,Protocol,PMC6869182,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6869182/,"...Our eight study communities were randomized in a 1:1 allocation ratio to either the intervention or control arms of the study, and our study is designed on a superiority framework....",Equal allocation to all groups,No,
