PairID,Protocol/Results,PMCID,Link,Text,Centers (select the best answer),Used full article,Notes
28,Protocol,PMC5832903,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5832903/,...This study is a prospective randomized controlled trial and will be completed in Acupuncture Department of Guang'anmen Hospital affiliated to China Academy of Chinese Medical Sciences from Sep....,Single,No,
28,Results,PMC7076411,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076411/,"...This was a randomized control trial which was performed at the Acupuncture Department of Guang An Men Hospital, China Academy of Chinese Medical Sciences....",Single,No,
29,Protocol,PMC3061925,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3061925/,"...This cluster randomized controlled trial, conducted internationally across the UK, France and Canada, will enable accrual of a larger sample of culturally diverse women in whom to test the continence promotion intervention....The Continence Across Continents To Upend Stigma and Dependency (CACTUS-D) study is an open-label, two-arm, parallel group, multi-national cluster randomized controlled trial to be conducted across four sites....",Multiple ,No,
29,Results,PMC3894173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3894173/,"...The trial design was a pragmatic, open-label, two-arm, international, multi- site cluster-randomised controlled trial [4]....",Multiple ,No,
30,Protocol,PMC3148988,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3148988/,"...The study protocol, design and consent forms have been approved by Institutional Review Board (IRB) at the two clinical coordinating centers - Cohen Children's Medical Center of New York and University of Michigan-CS Mott Children's Hospital - and 13 other participating sites (Nationwide Children's Hospital, Boston Children's Hospital, Oregon Health Sciences Center, Miami Children's Hospital, Carolinas Medical Center, Stollery Children's Hospital, Medical University of South Carolina, Emory University, Texas Tech University Health Sciences Center, Children's Mercy Hospital, University of Kansas, Mayo Clinic, and Cincinnati Children's Medical Center)....",Multiple ,No,
30,Results,PMC4961392,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4961392/,"...The study protocol, design and consent forms were approved by Institutional Review Board (IRB) at each participating site....",Multiple ,No,
31,Protocol,PMC5994046,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5994046/,"...The Clinical Research Unit for Anxiety and Depression (CRUfAD) is a not-for- profit joint initiative of St Vincent's Hospital and the University of New South Wales, School of Psychiatry in Sydney, Australia....",Single,No,
31,Results,PMC6814122,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6814122/,"...Recruitment was via the research arm of a not-for-profit clinical and research unit affiliated with St. Vincent׳s Hospital and the University of New South Wales, Australia that specializes in the development and evaluation of Internet-CBT....",Single,No,
32,Protocol,PMC3045905,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045905/,"...The study is a single-center, phase II, double-blind, randomized, active controlled trial, with minimized allocation of participants to one of two groups (Figure 1)....",Single,No,
32,Results,PMC3781106,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3781106/,"...A single-center, phase II, active-controlled RCT with participant and outcome assessor blinding, and minimized allocation (Scott et al. 2002) of participants to one of the two groups (adaptive training or nonadaptive training) according to: age (younger = 50 to 62 years/older = 63 to 74 years), sex (m/f), baseline working memory [Backward Digit Span, n trials correct (maximum = 14), low ≤6/high ≥7], and hearing aid use (unilateral/bilateral), with a 1:1 allocation....",Single,No,
33,Protocol,PMC3192674,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3192674/,"...To evaluate the effect of the structured reflection we will conduct a multicenter two-armed randomized non-blinded controlled trial....Seven hospitals accepted the invitation to join the study....This study will be conducted as a multicentre study, involving academic as well as peripheral hospitals....",Multiple ,No,
33,Results,PMC3625218,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3625218/,"...Patients from six different hospitals were recruited, including two academic hospitals and one categorical hospital....",Multiple ,No,
34,Protocol,PMC4676178,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4676178/,...This is a three-arm single center pilot randomized trial with allocation ratio of 1:1:1....,Single,No,
34,Results,PMC6593322,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6593322/,...We are conducting the Hypertension and Values (HYVALUE) study—a randomized controlled trial (RCT) in black and white patients with uncontrolled hypertension—to compare a values-affirmation intervention with a control exercise in 3 health care systems....Enrollment is currently occurring in 10 clinics and we will add more clinics as needed to meet recruitment targets....,Multiple ,No,
35,Protocol,PMC3045306,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3045306/,"...In brief, the trial was a multicenter patient-level, randomized, controlled, blinded (study and medical team blinded) clinical trial. Patients enrolled between February 1, 2017, and December 31, 2019, at 11 primary care clinics from 3 sites: Denver Health, a safety-net system in Denver, Colorado; Kaiser Permanente Colorado, a community system in Denver; and Kaiser Permanente Mid-Atlantic States, a community system in Maryland....",Multiple ,No,
35,Results,PMC4511259,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4511259/,"...This is a multi-country, parallel group, double-blind, placebo-controlled, randomized controlled trial (RCT)....In each of the three countries, 600 T. trichiura-positive community members will be randomly assigned to either receive the current standard treatment (albendazole/placebo) or the combination therapy (ivermectin/albendazole)....The trial will be conducted as a multi-country study with two settings in Africa and one in Asia, namely Côte d’Ivoire, Pemba (Zanzibar, Tanzania) and Lao PDR...",Multiple ,No,
36,Protocol,PMC3816245,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816245/,"...The presented data derived from a double-blind, standard of care-controlled randomized controlled trial (RCT) conducted in the Nam Bak district in Luang Prabang Province in Lao PDR and in the Chake Chake district, South Pemba on Pemba Island, Tanzania between September 2018 to July 2020. Data from the third study site, Côte d’Ivoire, are not presented here as the study was stopped after the first follow-up time point....",Multiple ,No,
36,Results,PMC4407900,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4407900/,"...It is a single-center study carried out at the Cardiac Intensive Care Unit within the Department of Cardiology, The Heart Centre, Copenhagen University Hospital - Rigshospitalet, Copenhagen....The IMICA trial is a single-center study, initiated and overseen by the sponsor-investigator....",Single,No,
37,Protocol,PMC4235173,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4235173/,"...The trial was an investigator-initiated, randomized, placebo-controlled, double-blinded, single-center, clinical phase II trial....",Single,No,
37,Results,PMC9007089,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9007089/,"...Centres or sites were selected on the basis of having sufficient patients with diabetes in their practice and with investigators that were motivated to fulfil the administrative procedures linked to the study. Centres or sites were randomised by a central randomisation procedure to either a benchmarking group or a control group....Each centre was expected to recruit 8-12 patients; however, some centres enrolled 15-20 patients....A total of 4026 patients, of which 3994 are evaluable, were enrolled from 370 sites across six countries in Europe....",Multiple ,No,
38,Protocol,PMC3727984,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3727984/,"...Participating investigators were selected from general practitioner or hospital-based outpatient clinics to represent country-specific diabetes management practices....Randomization took place in a 1:1 ratio in Belgium (where the study originated); some centers recruited 15–20 patients, rather than the expected 8–12 patients, which allowed a 3:1 randomization ratio in the other participating countries....",Multiple ,No,
38,Results,PMC6529670,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6529670/,"...The study is a multicentre, cluster-randomised controlled, pragmatic trial using parallel groups with a 1:1 randomisation (on cluster level) and 12 months of follow-up....",Multiple ,No,
39,Protocol,PMC5826976,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5826976/,"...A multi-centre, cluster-randomised controlled, pragmatic trial using two parallel groups with 1:1 randomisation (on a cluster level) and 12 months of follow-up was conducted....Clusters were nursing homes in the areas of Halle (Saale), Lübeck and Witten, Germany....",Multiple ,No,
39,Results,PMC8660785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8660785/,"...All patients will be screened, randomized and treated in our university hospital, a level 1 trauma centre in a rural area of The Netherlands....",Single,No,
40,Protocol,PMC6452278,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6452278/,"...The trial was conducted in a university hospital, a level 1 trauma centre in the Netherlands....",Single,No,
40,Results,PMC8678693,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8678693/,...Approximately 900 women from 42 health clinics were calculated to be sufficient sample size in order to achieve 80% power to detect a 15% difference in IPV frequency between treatment versus control arms at the α < 0.05 statistical significance level....,Multiple ,No,
41,Protocol,PMC6421712,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6421712/,...This study is a cluster-randomized controlled trial that occurred between 2012 and 2015 across 42 public health clinics operated by the Ministry of Health (MoH) in Mexico City....,Multiple ,No,
41,Results,PMC8277064,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8277064/,"...Seven schools, from inner city areas of Lahore, are likely to be involved in the study in order to achieve the needed sample size....We expect to include five to six schools to obtain the required sample size....",Multiple ,No,
42,Protocol,PMC3652773,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3652773/,"...The six schools, were approached through a letter to the Heads of schools inviting them to participate....",Multiple ,No,
42,Results,PMC7962797,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7962797/,"...In order to rigorously evaluate this intervention, a multicentre, randomized controlled study was designed....A multicentre, open-label, randomized, controlled, parallel trial is used to evaluate the effectiveness of PADs....Subjects are referred by their psychiatrists, recruitment is performed in seven hospitals from three main cities across France: three Public Institution of Mental Health in Marseille (AP-HM, Edouard Toulouse, Valvert), two in Lyon (Le Vinatier, Saint Jean de Dieu ARHM) and two in Paris (GHU and Argenteuil)....",Multiple ,No,
43,Protocol,PMC7574300,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7574300/,"...The study, which has the English name description Peer Worker–Facilitated Psychiatric Advance Directive Study (French acronym DAiP), was a multicenter nonblinded RCT conducted in 7 mental health facilities (aka centers) of 3 cities (aka sites) in France (Lyon, Paris, and Marseille) between January 2019 and June 2021....",Multiple ,No,
43,Results,PMC8104015,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8104015/,"...We will recruit up to 150 participants: up to 75 teachers will be collected by Istituto Auxologico Italiano (AUXO) in public school institutes in Milan, and up to 75 nurses will be recruited by the National Council of Research (CNR) in a public hospital in Messina, Italy....The interview was designed for epidemiological studies and multicenter clinical trials....",Multiple ,No,
44,Protocol,PMC3189404,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3189404/,...The study is designed as a multicentric randomized block controlled trial involving participants recruited from two different worker populations (teachers and nurses) that are highly exposed to psychological stress (the Consort flowchart is reported in Figure 3 and the electronic CONSORT-EHEALTH questionnaire [43] in Multimedia Appendix 1)....The administration time of the interview is approximately 15 minutes and was designed for epidemiological studies and multicentered clinical trials....,Multiple ,No,
44,Results,PMC3816864,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3816864/,"...The trial is conducted at five PMTCT sites in Dar es Salaam, including Mnazi Mmoja Hospital, Buguruni Health Center, Mbagala Rangi Tatu Hospital, Sinza Hospital, and Tabata A Dispensary....",Multiple ,No,
45,Protocol,PMC4464611,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4464611/,"...Pregnant women were randomly assigned in a 1:1 ratio to either the vitamin D3 supplementation or placebo group, stratified by the study clinic....",Multiple ,No,
