Unnamed: 0,PMCID,sentence_id,text,start_char_pos,end_char_pos,section,CONSORT_Item,section.1,Prediction
29,PMC4770816,S30,The SPS3 trial of different blood pressure targets in younger (mean age 63 years) patients with recent lacunar stroke found a non-significant 19% reduction in risk of stroke after one year in people treated with a systolic blood pressure target of less than 130 mm Hg compared with a 130-149 mm Hg target.11,3798,4105,['Introduction'],['0'],Introduction,['0']
30,PMC4770816,S31,"Recent guidelines have drawn different conclusions from the evidence base; the European guidelines recommend a target systolic blood pressure of 140 mm Hg (or higher),12 and British guidelines recommend a target of 130 mm Hg.13",4106,4333,['Introduction'],['0'],Introduction,['0']
31,PMC4770816,S32,"In view of these controversies, the Prevention After Stroke—Blood Pressure (PAST-BP) study compared two different targets for blood pressure lowering after stroke or TIA in people recruited from a prevalent primary care population.14",4340,4573,['Introduction'],['0'],Introduction,['0']
32,PMC4770816,S33,"The aim was to determine whether setting a more intensive target in primary care would lead to a lower blood pressure, as a prelude to a trial powered to detect whether such a strategy would lead to a reduction in recurrence of stroke.",4574,4809,['Introduction'],['2b'],Introduction,['0']
33,PMC4770816,S34,Methods,4826,4833,[],['0'],Introduction,['0']
34,PMC4770816,S35,Participants,4849,4861,['Participants'],['0'],Methods,['0']
35,PMC4770816,S36,The methods used in PAST-BP have been reported in detail elsewhere.14,4870,4939,['Participants'],['0'],Methods,['0']
36,PMC4770816,S37,PAST-BP was an individually randomised trial in which participants were allocated to either an intensive blood pressure target (<130 mm Hg or a 10 mm Hg reduction if baseline pressure was <140 mm Hg) or a standard target (<140 mm Hg).,4940,5174,['Participants'],['3a'],Methods,['3a']
37,PMC4770816,S38,Patients were recruited from 106 general practices (of which 99 contributed at least one patient) in England during 2009-11.,5175,5299,['Participants'],"['4b', '14a']",Methods,['4b']
38,PMC4770816,S39,Patients were considered for inclusion if they were on the practice’s TIA/stroke register.,5300,5390,['Participants'],['4a'],Methods,['4a']
39,PMC4770816,S40,"They were excluded if their baseline systolic blood pressure was less than 125 mm Hg, they were already taking three or more antihypertensive agents, they had a greater than 20 mm Hg postural change in systolic blood pressure on standing, they were already being treated to a 130 mm Hg systolic blood pressure target, they were unable to provide informed consent, or there was insufficient corroborative evidence that they had had a stroke or TIA.",5391,5838,['Participants'],['4a'],Methods,['4a']
40,PMC4770816,S41,Potentially eligible participants were identified using a search of the general practice’s clinical computer system.,5839,5955,['Participants'],['0'],Methods,['0']
41,PMC4770816,S42,A general practitioner reviewed this list to exclude patients for whom a study invitation would be inappropriate.,5956,6069,['Participants'],['0'],Methods,['0']
42,PMC4770816,S43,"The remainder were sent a letter inviting them to attend a study clinic appointment held at their general practice by a research nurse, where written informed consent was obtained.",6070,6250,['Participants'],['0'],Methods,['0']
43,PMC4770816,S44,Randomisation and masking,6273,6298,['Randomisation and masking'],['0'],Methods,['0']
44,PMC4770816,S45,"The central study team at the University of Birmingham randomised patients, with minimisation based on age, sex, diabetes mellitus, atrial fibrillation, baseline systolic blood pressure, and general practice.",6307,6515,['Randomisation and masking'],"['10', '8b']",Methods,"['10', '8b']"
45,PMC4770816,S46,The research nurse ascertained treatment allocation either by telephone or online.,6516,6598,['Randomisation and masking'],['10'],Methods,['10']
46,PMC4770816,S47,Neither participants nor clinicians were blinded to treatment allocation.,6607,6680,['Randomisation and masking'],['11a'],Methods,['11a']
47,PMC4770816,S48,A research nurse who was not otherwise involved in the patient’s care obtained the primary outcome measure (blood pressure) by using an automated sphygmomanometer.,6681,6844,['Randomisation and masking'],['6a'],Methods,['6a']
48,PMC4770816,S49,Procedures,6867,6877,['Procedures'],['0'],Methods,['0']
49,PMC4770816,S50,Patients randomised to the intensive arm were given a target systolic blood pressure of below 130 mm Hg or a target reduction of 10 mm Hg if their baseline blood pressure was between 125 and 140 mm Hg.,6886,7087,['Procedures'],['5'],Methods,['5']
50,PMC4770816,S51,"The target in the standard arm was less than 140 mm Hg, irrespective of baseline blood pressure.",7088,7184,['Procedures'],['5'],Methods,['5']
51,PMC4770816,S52,"Apart from the different blood pressure targets, the management of blood pressure was the same in both groups and was carried out by a practice nurse (to monitor blood pressure) and a general practitioner (responsible for modifying blood pressure treatment).",7185,7443,['Procedures'],['5'],Methods,['5']
52,PMC4770816,S53,Patients whose systolic blood pressure at baseline was above target (everyone in the intensive arm and those patients in the standard arm whose blood pressure was ≥140 mm Hg) had their antihypertensive treatment reviewed by their general practitioner.,7444,7695,['Procedures'],['5'],Methods,['5']
53,PMC4770816,S54,A practice nurse would see all patients at three month intervals (if their blood pressure was below target when previously measured) or after one month (if previous blood pressure was above target) and refer to the general practitioner if the blood pressure was above target.,7696,7971,['Procedures'],['5'],Methods,['5']
54,PMC4770816,S55,"The protocol required no formal down-titration of treatment if blood pressure was below target, but general practitioners had discretion to change or reduce treatment in the light of symptoms attributable to blood pressure drugs.",7972,8201,['Procedures'],['5'],Methods,['5']
55,PMC4770816,S56,We provided general practitioners with treatment protocols that reflected the national guidelines for blood pressure lowering in operation at the time of the trial.15,8202,8368,['Procedures'],['5'],Methods,['5']
56,PMC4770816,S57,"In both arms of the trial, the general practitioners had access to a computer based algorithm that actively suggested drugs and dosage if the participant was above target.",8369,8540,['Procedures'],['5'],Methods,['5']
57,PMC4770816,S58,Follow-up ceased if the participant had a major cardiovascular event.,8541,8610,['Procedures'],['7b'],Methods,['7b']
58,PMC4770816,S59,The primary outcome was change in systolic blood pressure between baseline and one year.,8619,8707,['Procedures'],['6a'],Methods,['6a']
59,PMC4770816,S60,Participants had blood pressure measured by a research nurse (separate from the practice nurse’s measurements described above) at baseline and at six and 12 months.,8708,8872,['Procedures'],['6a'],Methods,['6a']
60,PMC4770816,S61,Blood pressure was measured using a British Hypertension Society validated automated electronic monitor supplied and validated for the study.16,8873,9016,['Procedures'],['6a'],Methods,['6a']
61,PMC4770816,S62,"Blood pressure was measured in a standardised way, with the patient seated for five minutes and then six measurements taken at one minute intervals.",9017,9165,['Procedures'],['6a'],Methods,['6a']
62,PMC4770816,S63,The primary outcome was the average of the second and third measurements.,9166,9239,['Procedures'],['6a'],Methods,['6a']
63,PMC4770816,S64,"Secondary measures of blood pressure included diastolic blood pressure at six and 12 months, systolic blood pressure at six months, and proportion achieving target blood pressures at 12 months.",9248,9441,['Procedures'],['6a'],Methods,['6a']
64,PMC4770816,S65,"For the systolic blood pressure, we also calculated the means of readings 2-6 and 5-6 to look for any differential effects with regard to habituation to blood pressure measurement.",9442,9622,['Procedures'],['6a'],Methods,['6a']
65,PMC4770816,S66,We identified clinical events through review of the general practice record at 12 months.,9631,9720,['Procedures'],['0'],Methods,['0']
66,PMC4770816,S67,"These comprised major cardiovascular events (composite of fatal and non-fatal stroke, myocardial infarction, fatal coronary heart disease, or other cardiovascular death), emergency hospital admissions, and deaths.",9721,9934,['Procedures'],['0'],Methods,['0']
67,PMC4770816,S68,Participants were flagged for mortality at the NHS Central Register.,9935,10003,['Procedures'],['0'],Methods,['0']
68,PMC4770816,S69,Side effects were assessed through the use of standard questionnaires.14,10004,10076,['Procedures'],['0'],Methods,['0']
69,PMC4770816,S70,Statistical analysis,10099,10119,['Statistical analysis'],['0'],Methods,['0']
70,PMC4770816,S71,"We estimated that a sample size of 305 patients in each group would detect a 5 mm Hg difference in systolic blood pressure between groups with 90% power at a significance level of 5% assuming a standard deviation of 17.5 mm Hg, 10% loss to follow-up, 5% mortality, and 10% major vascular events.5 7",10128,10426,['Statistical analysis'],['7a'],Methods,['7a']
71,PMC4770816,S72,"We used mixed models for the primary analysis, adjusting for baseline blood pressure, age group (<80 years, ≥80 years), sex, diabetes mellitus, atrial fibrillation, and practice (as a random effect).",10427,10626,['Statistical analysis'],['12a'],Methods,['12a']
72,PMC4770816,S73,The principal analysis was a complete case analysis.,10627,10679,['Statistical analysis'],['12a'],Methods,['12a']
73,PMC4770816,S74,"We also explored the potential effects of missing values by the use of three approaches: multiple imputation, group mean, and last available value.",10680,10827,['Statistical analysis'],['12a'],Methods,['12a']
74,PMC4770816,S75,"Subgroup analyses were pre-specified for diabetes mellitus, atrial fibrillation, and age group.",10828,10923,['Statistical analysis'],['12b'],Methods,['12b']
75,PMC4770816,S76,"In addition, we did a subgroup analysis by baseline systolic blood pressure (<140 mm Hg, ≥140 mm Hg).",10924,11025,['Statistical analysis'],['12b'],Methods,['12b']
76,PMC4770816,S77,"We compared the number of consultations, treatment changes, and side effects by using generalised mixed modelling, adjusting for the same variables as in the primary outcome.",11026,11200,['Statistical analysis'],['12b'],Methods,['12b']
77,PMC4770816,S78,"For clinical events, we calculated hazard ratios and their 95% confidence intervals by using Cox proportional hazards modelling, adjusting for the same covariates mentioned previously.",11201,11385,['Statistical analysis'],['12b'],Methods,['12b']
78,PMC4770816,S79,We checked the proportional hazard assumption with Schoenfeld residual plots and by including interaction terms in the model (for each term by time).,11386,11535,['Statistical analysis'],['12b'],Methods,['12b']
79,PMC4770816,S80,"For all clinical event analyses, we censored patients at the time of the first event relevant to that analysis.",11536,11647,['Statistical analysis'],['0'],Methods,['0']
80,PMC4770816,S81,"Thus, if a patient had more than one emergency hospital admission, only the first one would be counted.",11648,11751,['Statistical analysis'],['0'],Methods,['0']
81,PMC4770816,S82,We used SAS 9.2 and Stata 12 for analyses.,11752,11794,['Statistical analysis'],['12a'],Methods,['12a']
82,PMC4770816,S83,Patient involvement,11817,11836,['Patient involvement'],['0'],Methods,['0']
83,PMC4770816,S84,The study was discussed by a stroke survivor group who agreed that it was an important research question and that blood pressure was an important outcome for them.,11845,12008,['Patient involvement'],['0'],Methods,['0']
84,PMC4770816,S85,Patients were involved in developing plans for recruitment and design of the study through representation on the Trial Steering Committee.,12009,12147,['Patient involvement'],['0'],Methods,['0']
85,PMC4770816,S86,No patients were asked to advise on interpretation or writing up of the results.,12148,12228,['Patient involvement'],['0'],Methods,['0']
86,PMC4770816,S87,We plan to disseminate the results of the research to the relevant patient community through local and nationally organised stroke groups.,12229,12367,['Patient involvement'],['0'],Methods,['0']
87,PMC4770816,S88,Results,12391,12398,['Results'],['0'],Results,['0']
88,PMC4770816,S89,"Figure 1 shows the trial profile; 529 patients from 99 general practices (range 1-16 per practice) entered the trial, and 84 patients withdrew from the trial in the 12 months after randomisation (52 (20%) in the intensive target arm and 32 (12%) in the standard target arm; P=0.02).",12405,12687,['Results'],"['13a', '13b']",Results,['0']
89,PMC4770816,S90,Primary outcome data were available for 379 participants at one year follow-up (182 (68%) in the intensive target arm and 197 (75%) in the standard target arm).,12688,12848,['Results'],['13a'],Results,['0']
90,PMC4770816,S91,All patients were followed up for clinical events and deaths.Table 1 shows patients’ characteristics at baseline.,12849,12962,['Results'],['15'],Results,['0']
91,PMC4770816,S92,About a quarter of participants were not taking any blood pressure lowering treatment at randomisation (76 in intensive arm; 63 in standard arm).,12963,13108,['Results'],['15'],Results,['0']
92,PMC4770816,S93,"For half of the participants, the index event was a TIA.",13109,13165,['Results'],['15'],Results,['0']
93,PMC4770816,S94,Just under 20% of participants reported at least moderate disability (modified Rankin score of three or more).,13166,13276,['Results'],['15'],Results,['0']
94,PMC4770816,S95,There were no important differences in characteristics between participants who did and did not have blood pressure recorded at 12 months (table 1).,13277,13425,['Results'],['15'],Results,['0']
95,PMC4770816,S96,Fig 1 Trial profile.,13433,13453,['Results'],"['13a', '13b', '16']",Results,['0']
96,PMC4770816,S97,*Reasons given: patient was housebound or in nursing home (957; 33%); would be unable to provide consent (338; 12%); comorbidity (216; 7%); blood pressure too low (199; 7%); at risk of falling (164; 6%); insufficient evidence of stroke/transient ischaemic attack (98; 3%); already being treated to 130 mm Hg target (71; 2%); other patient related factors (69; 2%); patient choice (54; 2%); terminally ill (48; 2%); deceased or left practice (41; 1%); participating in another trial (9); no reason given (618; 21%).,13454,13968,['Results'],['13b'],Results,['0']
97,PMC4770816,S98,†Blood pressure <125 mm Hg (447); lack of corroborative evidence of stroke/transient ischaemic attack (60); taking ≥3 antihypertensives (51); orthostatic hypotension (22); already being treated to lower blood pressure target (4); unable to provide informed consent (2).,13969,14238,['Results'],['0'],Results,['0']
98,PMC4770816,S99,SBP=systolic blood pressure,14239,14266,['Results'],['0'],Results,['0']
99,PMC4770816,S100,Table 1 Baseline characteristics.,14273,14306,['Results'],['15'],Results,['0']
100,PMC4770816,S101,Values are numbers (percentages) unless stated otherwise,14307,14363,['Results'],['0'],Results,['0']
101,PMC4770816,S102,The intensive target arm was associated with significantly more consultations for blood pressure control with the general practitioner (median visits 2 v 1; P<0.001) and practice nurse (median 3 v 2; P=0.002) than the standard target arm.,14370,14608,['Results'],['18'],Results,['0']
102,PMC4770816,S103,This higher consultation rate led to more intensifications of blood pressure treatment (458 v 278; P<0.001) and more changes due to side effects (77 v 30; P<0.001).,14609,14773,['Results'],['18'],Results,['0']
103,PMC4770816,S104,"However, patients were also less likely to have their blood pressure treatment increased after review by the general practitioner when the blood pressure was above target in the intensive arm (109 v 57; P=0.005) (table 2).",14774,14996,['Results'],['18'],Results,['0']
104,PMC4770816,S105,"The three factors that contributed most to this difference were symptoms attributed to blood pressure drugs, blood pressure only just above target, and patient not wanting treatment intensified.",14997,15191,['Results'],['0'],Results,['0']
105,PMC4770816,S106,"At the end of the study, the number of antihypertensive drugs that patients were taking had increased by a similar amount in both arms (mean number of antihypertensive drugs 2.1 in intensive arm and 1.9 in standard arm; P=0.13).",15192,15420,['Results'],['18'],Results,['0']
106,PMC4770816,S107,Table 2 Reasons given by general practitioner for not increasing blood pressure treatment after patient referred by practice nurse with blood pressure above target,15427,15590,['Results'],['0'],Results,['0']
107,PMC4770816,S108,Treatment to a more intensive target was associated with a significantly greater reduction in systolic blood pressure at 12 months (primary outcome) (table 3).,15597,15756,['Results'],['17a'],Results,['0']
108,PMC4770816,S109,Systolic blood pressure was reduced by 16 mm Hg in the intensive target arm and by 13 mm Hg in the standard target arm.,15757,15876,['Results'],['17a'],Results,['0']
109,PMC4770816,S110,This difference persisted when we calculated it by using the mean of the fifth and sixth readings (−3.2 (95% confidence interval −5.8 to −0.64) mm Hg) or the mean of the second to sixth readings (−3.3 (−5.8 to −0.67) mm Hg) (supplementary table A).,15877,16125,['Results'],['17a'],Results,['0']
110,PMC4770816,S111,"When we took account of the missing values by using multiple imputation, the effect size was −3.2 (−5.7 to −0.65) mm Hg (see supplementary table B for results of other methods).",16126,16303,['Results'],['17a'],Results,['0']
111,PMC4770816,S112,"The blood pressure target (that is, <130 mm Hg or a 10 mm Hg reduction for those with a baseline systolic blood pressure <140 mm Hg) at one year was achieved in 93 (51%) patients in the intensive arm.",16304,16504,['Results'],['17a'],Results,['0']
112,PMC4770816,S113,"Proportions achieving a systolic blood pressure below 140 mm Hg were similar in the two arms (150/182 (82%) v 161/197 (82%); P=0.59), as were those achieving a systolic blood pressure below 130 mm Hg (103/182 (57%) v 107/197 (54%); P=0.36).",16505,16745,['Results'],['17a'],Results,['0']
113,PMC4770816,S114,We found no evidence of a significant difference in effectiveness of using an intensive blood pressure target in any subgroup of patients (fig 2).,16746,16892,['Results'],['18'],Results,['0']
114,PMC4770816,S115,Table 3 Systolic and diastolic blood pressure in intensive target and standard target groups,16899,16991,['Results'],['17a'],Results,['0']
115,PMC4770816,S116,"Fig 2 Effect of intensive versus standard target on systolic blood pressure at 12 months for different patient subgroups, adjusted for baseline blood pressure, age group (<80, ≥80 years), sex, diabetes mellitus, atrial fibrillation, and general practice (random effect)",16999,17268,['Results'],['18'],Results,['0']
116,PMC4770816,S117,"One major cardiovascular event occurred in the intensive target arm (a non-fatal myocardial infarction) and five in the standard care arm (three strokes, one non-fatal myocardial infarction, and one cardiovascular death) (hazard ratio 0.19, 95% confidence interval 0.02 to 1.87; P=0.16).",17275,17562,['Results'],['19'],Results,['0']
117,PMC4770816,S118,Two deaths occurred in the intensive target arm and one in the standard target arm.,17563,17646,['Results'],['19'],Results,['0']
118,PMC4770816,S119,"The risk of emergency admission was 12.8% per year in the intensive target arm and 7.8% per year in the standard target arm (hazard ratio 1.56, 0.84 to 2.93; P=0.16).",17647,17813,['Results'],['18'],Results,['0']
119,PMC4770816,S120,Two admissions in each arm were related to falls.,17814,17863,['Results'],['19'],Results,['0']
120,PMC4770816,S121,"Apart from TIA (responsible for five admissions in the standard target arm and three admissions in the intensive target arm) and stroke, no single diagnosis accounted for more than two admissions.",17864,18060,['Results'],['19'],Results,['0']
121,PMC4770816,S122,Table 4 shows the most common symptoms at 12 months by treatment allocation.,18061,18137,['Results'],['0'],Results,['0']
122,PMC4770816,S123,There were no significant differences between the two groups.,18138,18199,['Results'],['0'],Results,['0']
123,PMC4770816,S124,Table 4 Most frequent symptoms at 12 months,18206,18249,['Results'],['19'],Results,['0']
124,PMC4770816,S125,Discussion,18266,18276,[],['0'],Results,['0']
125,PMC4770816,S126,We found that aiming for a target systolic blood pressure of below 130 mm Hg or a 10 mm Hg reduction from baseline if this was below 140 mm Hg in a primary care population with prevalent cerebrovascular disease led to a lower systolic blood pressure than if a target of below 140 mm Hg target was aimed for.,18283,18590,[],['0'],Results,['0']
126,PMC4770816,S127,"However, the difference was small (about 3 mm Hg) and was associated with increased workload (one extra consultation a year each for general practitioners and nurses).",18591,18758,[],['0'],Results,['0']
127,PMC4770816,S128,"The intensive target arm was not associated with more side effects as measured at follow-up, but more changes to treatment occurred because of side effects during the trial.",18759,18932,[],['0'],Results,['0']
128,PMC4770816,S129,"More people from the intensive target arm withdrew consent for the trial, and this might have reflected unwillingness to persevere with the increased treatment regimen.",18933,19101,[],['22'],Results,['0']
129,PMC4770816,S130,"Perhaps the most important finding was the greater than 10 mm Hg reductions in mean systolic blood pressure in both arms of the study, so that more than 80% of participants in each arm had achieved a blood pressure of below 140 mm Hg by the end of the trial, compared with less than 50% at baseline.",19102,19401,[],['0'],Results,['0']
130,PMC4770816,S131,Strengths and weaknesses of study,19417,19450,['Strengths and weaknesses of study'],['0'],Discussion,['0']
131,PMC4770816,S132,Blood pressure at 12 months was not available for 28% of patients randomised.,19459,19536,['Strengths and weaknesses of study'],['20'],Discussion,['0']
132,PMC4770816,S133,"This reflected a high number of withdrawals from the study, with some differential loss to follow-up in the intensive target arm.",19537,19666,['Strengths and weaknesses of study'],['20'],Discussion,['0']
133,PMC4770816,S134,"However, when we imputed missing values by using multiple imputation (the most robust method), the difference in achieved blood pressure between arms at one year was very similar to that observed.",19667,19863,['Strengths and weaknesses of study'],['0'],Discussion,['0']
134,PMC4770816,S135,"Although we did not achieve our sample size, in the event our trial was adequately powered, as the observed standard deviation in blood pressure was less than we had anticipated in our sample size calculation.",19864,20073,['Strengths and weaknesses of study'],['20'],Discussion,['0']
135,PMC4770816,S136,This is reflected in the statistical significance of the small difference in observed blood pressure between arms.,20074,20188,['Strengths and weaknesses of study'],['0'],Discussion,['0']
136,PMC4770816,S137,"Nevertheless, the upper limit of the confidence interval around the difference between arms at one year was 5.68 mm Hg, which would be regarded as a clinically important effect.",20189,20366,['Strengths and weaknesses of study'],['0'],Discussion,['0']
137,PMC4770816,S138,Only 4% of patients on general practice stroke/TIA registers participated in the trial.,20367,20454,['Strengths and weaknesses of study'],['20'],Discussion,['0']
138,PMC4770816,S139,"Participants had a low prevalence of disability for a prevalent cerebrovascular disease population, were younger than typical patients in primary care with a history of cerebrovascular disease, and over-represented people with a history of TIA only.7",20455,20705,['Strengths and weaknesses of study'],['20'],Discussion,['0']
139,PMC4770816,S140,"It is likely, therefore, that the more intensive target would have been even harder to achieve if the trial population was more representative of people with prevalent cerebrovascular disease.",20706,20898,['Strengths and weaknesses of study'],"['20', '21']",Discussion,['0']
140,PMC4770816,S141,The trial represents a post-stroke primary care population managed by generalists rather than a selective hospital/outpatient population managed by specialists.,20899,21059,['Strengths and weaknesses of study'],['21'],Discussion,['0']
141,PMC4770816,S142,"The outcome measure was not blinded, but a nurse not directly involved in the participant’s care obtained it by using an automated sphygmomanometer, so systematic recording bias is unlikely.",21060,21250,['Strengths and weaknesses of study'],['20'],Discussion,['0']
142,PMC4770816,S143,"The standard target arm in PAST-BP was actively managed, with the support of a computer based algorithm that suggested drug changes, rather than simply receiving “usual care.”",21259,21434,['Strengths and weaknesses of study'],['0'],Discussion,['0']
143,PMC4770816,S144,"If we had used a more passive management strategy in the comparison group, we may have achieved a greater separation in systolic blood pressure between arms.",21435,21592,['Strengths and weaknesses of study'],['20'],Discussion,['0']
144,PMC4770816,S145,"In another blood pressure lowering study of patients with increased cardiovascular risk carried out by our group in the same timeframe, the standard care control arm dropped by 6 mm Hg from a similar baseline compared with 13 mm Hg in the study reported here.17",21593,21854,['Strengths and weaknesses of study'],['0'],Discussion,['0']
145,PMC4770816,S146,We used an active control because we wanted to ascertain the effect of setting different blood pressure targets and to avoid confounding that would be introduced by having different management strategies in the two arms.,21855,22075,['Strengths and weaknesses of study'],['0'],Discussion,['0']
146,PMC4770816,S147,"The target in the intensive arm was more complicated than that in the standard care arm, but we minimised the effect of this on adherence to the protocol by ensuring that the primary care staff managed all trial participants in the same way, with prompts to review treatment if blood pressure was above the individualised target.",22076,22405,['Strengths and weaknesses of study'],['0'],Discussion,['0']
147,PMC4770816,S148,Comparison with other studies and interpretation,22428,22476,['Comparison with other studies and interpretation'],['0'],Discussion,['0']
148,PMC4770816,S149,"The change in mean blood pressure that we observed in the intensive target arm was very similar to that observed in the below 130 mm Hg target arm of the SPS3 trial, with both PAST-BP and SPS3 achieving a mean systolic blood pressure in the intensive arm of 127 mm Hg after one year.11",22485,22770,['Comparison with other studies and interpretation'],['22'],Discussion,['0']
149,PMC4770816,S150,"However, the comparison arms had different achieved blood pressures (129 mm Hg in PAST-BP versus 138 mm Hg in SPS3).",22771,22887,['Comparison with other studies and interpretation'],['22'],Discussion,['0']
150,PMC4770816,S151,This reflects the more conservative target in the higher target arm of SPS3 (130-149 mm Hg as opposed to <140 mm Hg) and that antihypertensive treatment was reduced if blood pressure fell below target.,22888,23089,['Comparison with other studies and interpretation'],['22'],Discussion,['0']
151,PMC4770816,S152,"Most of the observed reduction in blood pressure is likely to have been mediated by increased use of antihypertensive drugs, which on average went up from one to two drugs per person over the year of the study in both arms of the trial.",23098,23334,['Comparison with other studies and interpretation'],['22'],Discussion,['0']
152,PMC4770816,S153,"Alternative explanations are that habituation to blood pressure measurement occurred, leading to reduced white coat effect, or that there was regression dilution bias.",23335,23502,['Comparison with other studies and interpretation'],['22'],Discussion,['0']
153,PMC4770816,S154,"However, in a blood pressure monitoring trial in a similar post-stroke population with similar mean baseline systolic blood pressure, no fall in blood pressure was observed in the control group over a 12 month period,18 and in the SPS3 trial (also with similar mean baseline systolic blood pressure to PAST-BP) a fall of just 4 mm Hg was seen in the 140 mm Hg target arm over the study period.11",23503,23898,['Comparison with other studies and interpretation'],['0'],Discussion,['0']
