Protocol/Results,PairID,PMCID,ChecklistItem,Reported,Split
Protocol,2,PMC3120681,5a_Sponsor,0,test
Protocol,2,PMC3120681,5b_Contributors_roles,1,test
Protocol,2,PMC3120681,5c_Oversight_committees,1,test
Protocol,2,PMC3120681,7_Objectives,1,test
Protocol,2,PMC3120681,8a_Design_Type,1,test
Protocol,2,PMC3120681,8b_Design_Framework,1,test
Protocol,2,PMC3120681,8c_Design_Centers,1,test
Protocol,2,PMC3120681,8d_Design_Ratio,1,test
Protocol,2,PMC3120681,9_Setting,1,test
Protocol,2,PMC3120681,10a_Participants_inclusion,1,test
Protocol,2,PMC3120681,10b_Center_interventionist_inclusion,1,test
Protocol,2,PMC3120681,11a_Intervention_Description,1,test
Protocol,2,PMC3120681,11b_Intervention_Modification,1,test
Protocol,2,PMC3120681,11c_Intervention_Monitoring,1,test
Protocol,2,PMC3120681,11d_Intervention_Concomitant,1,test
Protocol,2,PMC3120681,12a_Outcomes_Definitions,1,test
Protocol,2,PMC3120681,12b_Outcomes_Changes,0,test
Protocol,2,PMC3120681,13_Participant_timeline,1,test
Protocol,2,PMC3120681,14a_Sample_size,1,test
Protocol,2,PMC3120681,14b_Sample_Calculation,1,test
Protocol,2,PMC3120681,15_Recruitment,1,test
Protocol,2,PMC3120681,16a_Randomization_Generation,1,test
Protocol,2,PMC3120681,16b_Randomization_Type,1,test
Protocol,2,PMC3120681,16c_Randomization_Block_size,0,test
Protocol,2,PMC3120681,16d_Randomization_Strata,1,test
Protocol,2,PMC3120681,16e_Allocation_Mechanism,1,test
Protocol,2,PMC3120681,16f_Allocation_Concealment,0,test
Protocol,2,PMC3120681,16g_Personnel_Sequence,1,test
Protocol,2,PMC3120681,16h_Personnel_Enrollment,1,test
Protocol,2,PMC3120681,17a_Masking_People_masked,1,test
Protocol,2,PMC3120681,17b_Masking_Not_masked,1,test
Protocol,2,PMC3120681,17c_Masking_Type,1,test
Protocol,2,PMC3120681,17d_Masking_Unblinding,0,test
Protocol,2,PMC3120681,17e_Masking_Similarity,0,test
Protocol,2,PMC3120681,18a_Data_Collection,1,test
Protocol,2,PMC3120681,18b_Data_Retention,1,test
Protocol,2,PMC3120681,19_Data_Management,1,test
Protocol,2,PMC3120681,20a_Statistical_methods_Outcomes,1,test
Protocol,2,PMC3120681,20b_Statistical_methods_Other_Analyses,0,test
Protocol,2,PMC3120681,20c_Statistical_methods_Analysis_population,1,test
Protocol,2,PMC3120681,20d_Statistical_methods_Missing_data,1,test
Protocol,2,PMC3120681,21a_Data_monitoring_committee,1,test
Protocol,2,PMC3120681,21b_Interim_analyses,1,test
Protocol,2,PMC3120681,21c_Stopping_guidelines,1,test
Protocol,2,PMC3120681,22_Harms_non-systematic,1,test
Protocol,2,PMC3120681,23_Auditing,1,test
Protocol,2,PMC3120681,24_Ethics,1,test
Protocol,2,PMC3120681,25_Amendments,1,test
Protocol,2,PMC3120681,26a_Consent_Obtaining,1,test
Protocol,2,PMC3120681,26b_Consent_Provisions,0,test
Protocol,2,PMC3120681,27_Confidentiality,1,test
Protocol,2,PMC3120681,28_Financial_interests,1,test
Protocol,2,PMC3120681,29_Data_access,0,test
Protocol,2,PMC3120681,30_Post_trial_care,1,test
Protocol,2,PMC3120681,31a_Dissemination,1,test
Protocol,2,PMC3120681,31b_Authorship,1,test
Protocol,2,PMC3120681,31c_Sharing_Materials,0,test
Protocol,2,PMC3120681,31d_Sharing_Data,0,test
Protocol,2,PMC3120681,31e_Sharing_Code,0,test
Protocol,2,PMC3120681,32_Informed_consent_materials,0,test
Protocol,2,PMC3120681,33_Biological_specimens,0,test
Protocol,2,PMC3120681,34_Flow,0,test
Protocol,2,PMC3120681,35a_Recruitment_dates,1,test
Protocol,2,PMC3120681,35b_Followup_dates,1,test
Protocol,2,PMC3120681,35c_Stopping,0,test
Protocol,2,PMC3120681,36_Baseline_data,0,test
Protocol,2,PMC3120681,37a_Analysis_Numbers,0,test
Protocol,2,PMC3120681,38a_Outcome_results,0,test
Protocol,2,PMC3120681,38b_Binary_results,0,test
Protocol,2,PMC3120681,39_Ancillary_results,0,test
Protocol,2,PMC3120681,40_Harms_results,0,test
Protocol,2,PMC3120681,41_Generalizability,0,test
Protocol,3,PMC3355035,1a_Title_Randomized,1,test
Protocol,3,PMC3355035,1b_Title_Type,0,test
Protocol,3,PMC3355035,1c_Title_Framework,0,test
Protocol,3,PMC3355035,1d_Title_Centers,0,test
Protocol,3,PMC3355035,1e_Title_Population,1,test
Protocol,3,PMC3355035,1f_Title_Intervention,1,test
Protocol,3,PMC3355035,1g_Title_Acronym,0,test
Protocol,3,PMC3355035,2_Abstract_structured,1,test
Protocol,3,PMC3355035,3a_Registry_number,1,test
Protocol,3,PMC3355035,3b_Protocol_access,0,test
Protocol,3,PMC3355035,4_Funding,1,test
Protocol,3,PMC3355035,5a_Sponsor,0,test
Protocol,3,PMC3355035,5b_Contributors_roles,1,test
Protocol,3,PMC3355035,5c_Oversight_committees,0,test
Protocol,3,PMC3355035,7_Objectives,1,test
Protocol,3,PMC3355035,8a_Design_Type,1,test
Protocol,3,PMC3355035,8b_Design_Framework,0,test
Protocol,3,PMC3355035,8c_Design_Centers,0,test
Protocol,3,PMC3355035,8d_Design_Ratio,0,test
Protocol,3,PMC3355035,9_Setting,1,test
Protocol,3,PMC3355035,10a_Participants_inclusion,1,test
Protocol,3,PMC3355035,10b_Center_interventionist_inclusion,0,test
Protocol,3,PMC3355035,11a_Intervention_Description,1,test
Protocol,3,PMC3355035,11b_Intervention_Modification,0,test
Protocol,3,PMC3355035,11c_Intervention_Monitoring,1,test
Protocol,3,PMC3355035,11d_Intervention_Concomitant,1,test
Protocol,3,PMC3355035,12a_Outcomes_Definitions,1,test
Protocol,3,PMC3355035,12b_Outcomes_Changes,0,test
Protocol,3,PMC3355035,13_Participant_timeline,0,test
Protocol,3,PMC3355035,14a_Sample_size,1,test
Protocol,3,PMC3355035,14b_Sample_Calculation,1,test
Protocol,3,PMC3355035,15_Recruitment,1,test
Protocol,3,PMC3355035,16a_Randomization_Generation,0,test
Protocol,3,PMC3355035,16b_Randomization_Type,1,test
Protocol,3,PMC3355035,16c_Randomization_Block_size,0,test
Protocol,3,PMC3355035,16d_Randomization_Strata,0,test
Protocol,3,PMC3355035,16e_Allocation_Mechanism,1,test
Protocol,3,PMC3355035,16f_Allocation_Concealment,0,test
Protocol,3,PMC3355035,16g_Personnel_Sequence,0,test
Protocol,3,PMC3355035,16h_Personnel_Enrollment,1,test
Protocol,3,PMC3355035,17a_Masking_People_masked,0,test
Protocol,3,PMC3355035,17b_Masking_Not_masked,0,test
Protocol,3,PMC3355035,17c_Masking_Type,0,test
Protocol,3,PMC3355035,17d_Masking_Unblinding,0,test
Protocol,3,PMC3355035,17e_Masking_Similarity,0,test
Protocol,3,PMC3355035,18a_Data_Collection,1,test
Protocol,3,PMC3355035,18b_Data_Retention,1,test
Protocol,3,PMC3355035,19_Data_Management,0,test
Protocol,3,PMC3355035,20a_Statistical_methods_Outcomes,1,test
Protocol,3,PMC3355035,20b_Statistical_methods_Other_Analyses,1,test
Protocol,3,PMC3355035,20c_Statistical_methods_Analysis_population,1,test
Protocol,3,PMC3355035,20d_Statistical_methods_Missing_data,1,test
Protocol,3,PMC3355035,21a_Data_monitoring_committee,0,test
Protocol,3,PMC3355035,21b_Interim_analyses,0,test
Protocol,3,PMC3355035,21c_Stopping_guidelines,0,test
Protocol,3,PMC3355035,22_Harms_non-systematic,0,test
Protocol,3,PMC3355035,23_Auditing,0,test
Protocol,3,PMC3355035,24_Ethics,1,test
Protocol,3,PMC3355035,25_Amendments,0,test
Protocol,3,PMC3355035,26a_Consent_Obtaining,1,test
Protocol,3,PMC3355035,26b_Consent_Provisions,0,test
Protocol,3,PMC3355035,27_Confidentiality,1,test
Protocol,3,PMC3355035,28_Financial_interests,1,test
Protocol,3,PMC3355035,29_Data_access,0,test
Protocol,3,PMC3355035,30_Post_trial_care,0,test
Protocol,3,PMC3355035,31a_Dissemination,0,test
Protocol,3,PMC3355035,31b_Authorship,0,test
Protocol,3,PMC3355035,31c_Sharing_Materials,0,test
Protocol,3,PMC3355035,31d_Sharing_Data,0,test
Protocol,3,PMC3355035,31e_Sharing_Code,0,test
Protocol,3,PMC3355035,32_Informed_consent_materials,0,test
Protocol,3,PMC3355035,33_Biological_specimens,0,test
Protocol,3,PMC3355035,34_Flow,0,test
Protocol,3,PMC3355035,35a_Recruitment_dates,0,test
Protocol,3,PMC3355035,35b_Followup_dates,1,test
Protocol,3,PMC3355035,35c_Stopping,0,test
Protocol,3,PMC3355035,36_Baseline_data,0,test
Protocol,3,PMC3355035,37a_Analysis_Numbers,0,test
Protocol,3,PMC3355035,38a_Outcome_results,0,test
Protocol,3,PMC3355035,38b_Binary_results,0,test
Protocol,3,PMC3355035,39_Ancillary_results,0,test
Protocol,3,PMC3355035,40_Harms_results,0,test
Protocol,3,PMC3355035,41_Generalizability,0,test
Protocol,4,PMC3418177,1a_Title_Randomized,1,train
Protocol,4,PMC3418177,1b_Title_Type,0,train
Protocol,4,PMC3418177,1c_Title_Framework,0,train
Protocol,4,PMC3418177,1d_Title_Centers,0,train
Protocol,4,PMC3418177,1e_Title_Population,1,train
Protocol,4,PMC3418177,1f_Title_Intervention,0,train
Protocol,4,PMC3418177,1g_Title_Acronym,0,train
Protocol,4,PMC3418177,2_Abstract_structured,1,train
Protocol,4,PMC3418177,3a_Registry_number,1,train
Protocol,4,PMC3418177,3b_Protocol_access,0,train
Protocol,4,PMC3418177,4_Funding,1,train
Protocol,4,PMC3418177,5a_Sponsor,0,train
Protocol,4,PMC3418177,5b_Contributors_roles,1,train
Protocol,4,PMC3418177,5c_Oversight_committees,0,train
Protocol,4,PMC3418177,7_Objectives,1,train
Protocol,4,PMC3418177,8a_Design_Type,0,train
Protocol,4,PMC3418177,8b_Design_Framework,0,train
Protocol,4,PMC3418177,8c_Design_Centers,1,train
Protocol,4,PMC3418177,8d_Design_Ratio,1,train
Protocol,4,PMC3418177,9_Setting,1,train
Protocol,4,PMC3418177,10a_Participants_inclusion,1,train
Protocol,4,PMC3418177,10b_Center_interventionist_inclusion,0,train
Protocol,4,PMC3418177,11a_Intervention_Description,1,train
Protocol,4,PMC3418177,11b_Intervention_Modification,0,train
Protocol,4,PMC3418177,11c_Intervention_Monitoring,0,train
Protocol,4,PMC3418177,11d_Intervention_Concomitant,1,train
Protocol,4,PMC3418177,12a_Outcomes_Definitions,1,train
Protocol,4,PMC3418177,12b_Outcomes_Changes,0,train
Protocol,4,PMC3418177,13_Participant_timeline,1,train
Protocol,4,PMC3418177,14a_Sample_size,1,train
Protocol,4,PMC3418177,14b_Sample_Calculation,1,train
Protocol,4,PMC3418177,15_Recruitment,1,train
Protocol,4,PMC3418177,16a_Randomization_Generation,0,train
Protocol,4,PMC3418177,16b_Randomization_Type,0,train
Protocol,4,PMC3418177,16c_Randomization_Block_size,0,train
Protocol,4,PMC3418177,16d_Randomization_Strata,0,train
Protocol,4,PMC3418177,16e_Allocation_Mechanism,0,train
Protocol,4,PMC3418177,16f_Allocation_Concealment,0,train
Protocol,4,PMC3418177,16g_Personnel_Sequence,0,train
Protocol,4,PMC3418177,16h_Personnel_Enrollment,1,train
Protocol,4,PMC3418177,17a_Masking_People_masked,0,train
Protocol,4,PMC3418177,17b_Masking_Not_masked,0,train
Protocol,4,PMC3418177,17c_Masking_Type,0,train
Protocol,4,PMC3418177,17d_Masking_Unblinding,0,train
Protocol,4,PMC3418177,17e_Masking_Similarity,0,train
Protocol,4,PMC3418177,18a_Data_Collection,1,train
Protocol,4,PMC3418177,18b_Data_Retention,0,train
Protocol,4,PMC3418177,19_Data_Management,0,train
Protocol,4,PMC3418177,20a_Statistical_methods_Outcomes,1,train
Protocol,4,PMC3418177,20b_Statistical_methods_Other_Analyses,1,train
Protocol,4,PMC3418177,20c_Statistical_methods_Analysis_population,0,train
Protocol,4,PMC3418177,20d_Statistical_methods_Missing_data,0,train
Protocol,4,PMC3418177,21a_Data_monitoring_committee,0,train
Protocol,4,PMC3418177,21b_Interim_analyses,0,train
Protocol,4,PMC3418177,21c_Stopping_guidelines,0,train
Protocol,4,PMC3418177,22_Harms_non-systematic,0,train
Protocol,4,PMC3418177,23_Auditing,0,train
Protocol,4,PMC3418177,24_Ethics,1,train
Protocol,4,PMC3418177,25_Amendments,0,train
Protocol,4,PMC3418177,26a_Consent_Obtaining,1,train
Protocol,4,PMC3418177,26b_Consent_Provisions,0,train
Protocol,4,PMC3418177,27_Confidentiality,0,train
Protocol,4,PMC3418177,28_Financial_interests,1,train
Protocol,4,PMC3418177,29_Data_access,0,train
Protocol,4,PMC3418177,30_Post_trial_care,0,train
Protocol,4,PMC3418177,31a_Dissemination,0,train
Protocol,4,PMC3418177,31b_Authorship,0,train
Protocol,4,PMC3418177,31c_Sharing_Materials,0,train
Protocol,4,PMC3418177,31d_Sharing_Data,0,train
Protocol,4,PMC3418177,31e_Sharing_Code,0,train
Protocol,4,PMC3418177,32_Informed_consent_materials,0,train
Protocol,4,PMC3418177,33_Biological_specimens,0,train
Protocol,4,PMC3418177,34_Flow,0,train
Protocol,4,PMC3418177,35a_Recruitment_dates,0,train
Protocol,4,PMC3418177,35b_Followup_dates,0,train
Protocol,4,PMC3418177,35c_Stopping,0,train
Protocol,4,PMC3418177,36_Baseline_data,0,train
Protocol,4,PMC3418177,37a_Analysis_Numbers,0,train
Protocol,4,PMC3418177,38a_Outcome_results,0,train
Protocol,4,PMC3418177,38b_Binary_results,0,train
Protocol,4,PMC3418177,39_Ancillary_results,0,train
Protocol,4,PMC3418177,40_Harms_results,0,train
Protocol,4,PMC3418177,41_Generalizability,0,train
Protocol,5,PMC6069849,1a_Title_Randomized,1,test
Protocol,5,PMC6069849,1b_Title_Type,0,test
Protocol,5,PMC6069849,1c_Title_Framework,0,test
Protocol,5,PMC6069849,1d_Title_Centers,0,test
Protocol,5,PMC6069849,1e_Title_Population,1,test
Protocol,5,PMC6069849,1f_Title_Intervention,1,test
Protocol,5,PMC6069849,1g_Title_Acronym,0,test
Protocol,5,PMC6069849,2_Abstract_structured,1,test
Protocol,5,PMC6069849,3a_Registry_number,1,test
Protocol,5,PMC6069849,3b_Protocol_access,0,test
Protocol,5,PMC6069849,4_Funding,1,test
Protocol,5,PMC6069849,5a_Sponsor,0,test
Protocol,5,PMC6069849,5b_Contributors_roles,1,test
Protocol,5,PMC6069849,5c_Oversight_committees,0,test
Protocol,5,PMC6069849,7_Objectives,1,test
Protocol,5,PMC6069849,8a_Design_Type,0,test
Protocol,5,PMC6069849,8b_Design_Framework,1,test
Protocol,5,PMC6069849,8c_Design_Centers,1,test
Protocol,5,PMC6069849,8d_Design_Ratio,0,test
Protocol,5,PMC6069849,9_Setting,1,test
Protocol,5,PMC6069849,10a_Participants_inclusion,1,test
Protocol,5,PMC6069849,10b_Center_interventionist_inclusion,0,test
Protocol,5,PMC6069849,11a_Intervention_Description,1,test
Protocol,5,PMC6069849,11b_Intervention_Modification,1,test
Protocol,5,PMC6069849,11c_Intervention_Monitoring,0,test
Protocol,5,PMC6069849,11d_Intervention_Concomitant,0,test
Protocol,5,PMC6069849,12a_Outcomes_Definitions,1,test
Protocol,5,PMC6069849,12b_Outcomes_Changes,0,test
Protocol,5,PMC6069849,13_Participant_timeline,0,test
Protocol,5,PMC6069849,14a_Sample_size,1,test
Protocol,5,PMC6069849,14b_Sample_Calculation,1,test
Protocol,5,PMC6069849,15_Recruitment,1,test
Protocol,5,PMC6069849,16a_Randomization_Generation,1,test
Protocol,5,PMC6069849,16b_Randomization_Type,1,test
Protocol,5,PMC6069849,16c_Randomization_Block_size,1,test
Protocol,5,PMC6069849,16d_Randomization_Strata,1,test
Protocol,5,PMC6069849,16e_Allocation_Mechanism,0,test
Protocol,5,PMC6069849,16f_Allocation_Concealment,1,test
Protocol,5,PMC6069849,16g_Personnel_Sequence,1,test
Protocol,5,PMC6069849,16h_Personnel_Enrollment,0,test
Protocol,5,PMC6069849,17a_Masking_People_masked,1,test
Protocol,5,PMC6069849,17b_Masking_Not_masked,1,test
Protocol,5,PMC6069849,17c_Masking_Type,1,test
Protocol,5,PMC6069849,17d_Masking_Unblinding,0,test
Protocol,5,PMC6069849,17e_Masking_Similarity,0,test
Protocol,5,PMC6069849,18a_Data_Collection,1,test
Protocol,5,PMC6069849,18b_Data_Retention,0,test
Protocol,5,PMC6069849,19_Data_Management,1,test
Protocol,5,PMC6069849,20a_Statistical_methods_Outcomes,1,test
Protocol,5,PMC6069849,20b_Statistical_methods_Other_Analyses,0,test
Protocol,5,PMC6069849,20c_Statistical_methods_Analysis_population,0,test
Protocol,5,PMC6069849,20d_Statistical_methods_Missing_data,1,test
Protocol,5,PMC6069849,21a_Data_monitoring_committee,0,test
Protocol,5,PMC6069849,21b_Interim_analyses,0,test
Protocol,5,PMC6069849,21c_Stopping_guidelines,0,test
Protocol,5,PMC6069849,22_Harms_non-systematic,0,test
Protocol,5,PMC6069849,23_Auditing,0,test
Protocol,5,PMC6069849,24_Ethics,1,test
Protocol,5,PMC6069849,25_Amendments,1,test
Protocol,5,PMC6069849,26a_Consent_Obtaining,1,test
Protocol,5,PMC6069849,26b_Consent_Provisions,0,test
Protocol,5,PMC6069849,27_Confidentiality,1,test
Protocol,5,PMC6069849,28_Financial_interests,1,test
Protocol,5,PMC6069849,29_Data_access,1,test
Protocol,5,PMC6069849,30_Post_trial_care,1,test
Protocol,5,PMC6069849,31a_Dissemination,1,test
Protocol,5,PMC6069849,31b_Authorship,0,test
Protocol,5,PMC6069849,31c_Sharing_Materials,0,test
Protocol,5,PMC6069849,31d_Sharing_Data,0,test
Protocol,5,PMC6069849,31e_Sharing_Code,0,test
Protocol,5,PMC6069849,32_Informed_consent_materials,0,test
Protocol,5,PMC6069849,33_Biological_specimens,0,test
Protocol,5,PMC6069849,34_Flow,0,test
Protocol,5,PMC6069849,35a_Recruitment_dates,0,test
Protocol,5,PMC6069849,35b_Followup_dates,0,test
Protocol,5,PMC6069849,35c_Stopping,0,test
Protocol,5,PMC6069849,36_Baseline_data,0,test
Protocol,5,PMC6069849,37a_Analysis_Numbers,0,test
Protocol,5,PMC6069849,38a_Outcome_results,0,test
Protocol,5,PMC6069849,38b_Binary_results,0,test
Protocol,5,PMC6069849,39_Ancillary_results,0,test
Protocol,5,PMC6069849,40_Harms_results,0,test
Protocol,5,PMC6069849,41_Generalizability,0,test
Protocol,6,PMC3751729,1a_Title_Randomized,1,train
Protocol,6,PMC3751729,1b_Title_Type,1,train
Protocol,6,PMC3751729,1c_Title_Framework,1,train
Protocol,6,PMC3751729,1d_Title_Centers,1,train
Protocol,6,PMC3751729,1e_Title_Population,1,train
Protocol,6,PMC3751729,1f_Title_Intervention,1,train
Protocol,6,PMC3751729,1g_Title_Acronym,0,train
Protocol,6,PMC3751729,2_Abstract_structured,1,train
Protocol,6,PMC3751729,3a_Registry_number,1,train
Protocol,6,PMC3751729,3b_Protocol_access,0,train
Protocol,6,PMC3751729,4_Funding,1,train
Protocol,6,PMC3751729,5a_Sponsor,0,train
Protocol,6,PMC3751729,5b_Contributors_roles,1,train
Protocol,6,PMC3751729,5c_Oversight_committees,0,train
Protocol,6,PMC3751729,7_Objectives,1,train
Protocol,6,PMC3751729,8a_Design_Type,0,train
Protocol,6,PMC3751729,8b_Design_Framework,1,train
Protocol,6,PMC3751729,8c_Design_Centers,1,train
Protocol,6,PMC3751729,8d_Design_Ratio,1,train
Protocol,6,PMC3751729,9_Setting,1,train
Protocol,6,PMC3751729,10a_Participants_inclusion,1,train
Protocol,6,PMC3751729,10b_Center_interventionist_inclusion,0,train
Protocol,6,PMC3751729,11a_Intervention_Description,1,train
Protocol,6,PMC3751729,11b_Intervention_Modification,1,train
Protocol,6,PMC3751729,11c_Intervention_Monitoring,1,train
Protocol,6,PMC3751729,11d_Intervention_Concomitant,1,train
Protocol,6,PMC3751729,12a_Outcomes_Definitions,1,train
Protocol,6,PMC3751729,12b_Outcomes_Changes,0,train
Protocol,6,PMC3751729,13_Participant_timeline,0,train
Protocol,6,PMC3751729,14a_Sample_size,1,train
Protocol,6,PMC3751729,14b_Sample_Calculation,1,train
Protocol,6,PMC3751729,15_Recruitment,1,train
Protocol,6,PMC3751729,16a_Randomization_Generation,1,train
Protocol,6,PMC3751729,16b_Randomization_Type,1,train
Protocol,6,PMC3751729,16c_Randomization_Block_size,1,train
Protocol,6,PMC3751729,16d_Randomization_Strata,1,train
Protocol,6,PMC3751729,16e_Allocation_Mechanism,1,train
Protocol,6,PMC3751729,16f_Allocation_Concealment,1,train
Protocol,6,PMC3751729,16g_Personnel_Sequence,1,train
Protocol,6,PMC3751729,16h_Personnel_Enrollment,1,train
Protocol,6,PMC3751729,17a_Masking_People_masked,1,train
Protocol,6,PMC3751729,17b_Masking_Not_masked,1,train
Protocol,6,PMC3751729,17c_Masking_Type,1,train
Protocol,6,PMC3751729,17d_Masking_Unblinding,0,train
Protocol,6,PMC3751729,17e_Masking_Similarity,0,train
Protocol,6,PMC3751729,18a_Data_Collection,1,train
Protocol,6,PMC3751729,18b_Data_Retention,0,train
Protocol,6,PMC3751729,19_Data_Management,1,train
Protocol,6,PMC3751729,20a_Statistical_methods_Outcomes,1,train
Protocol,6,PMC3751729,20b_Statistical_methods_Other_Analyses,1,train
Protocol,6,PMC3751729,20c_Statistical_methods_Analysis_population,1,train
Protocol,6,PMC3751729,20d_Statistical_methods_Missing_data,1,train
Protocol,6,PMC3751729,21a_Data_monitoring_committee,0,train
Protocol,6,PMC3751729,21b_Interim_analyses,1,train
Protocol,6,PMC3751729,21c_Stopping_guidelines,0,train
Protocol,6,PMC3751729,22_Harms_non-systematic,1,train
Protocol,6,PMC3751729,23_Auditing,0,train
Protocol,6,PMC3751729,24_Ethics,1,train
Protocol,6,PMC3751729,25_Amendments,1,train
Protocol,6,PMC3751729,26a_Consent_Obtaining,1,train
Protocol,6,PMC3751729,26b_Consent_Provisions,0,train
Protocol,6,PMC3751729,27_Confidentiality,1,train
Protocol,6,PMC3751729,28_Financial_interests,1,train
Protocol,6,PMC3751729,29_Data_access,0,train
Protocol,6,PMC3751729,30_Post_trial_care,0,train
Protocol,6,PMC3751729,31a_Dissemination,0,train
Protocol,6,PMC3751729,31b_Authorship,0,train
